[0] 3:20	[music]
[1204] 55:37	ark. It's been actually it's been
[1205] 55:39	actually examined by a real
[1206] 55:41	archaeologist.
[1207] 55:43	And that one was determined to be a 13th
[1208] 55:46	century AD replica.
[1209] 55:49	Looks nothing like the Ark of the
[1210] 55:51	Covenant.
[1211] 55:52	Nothing.
[1212] 55:54	It's flat.
[1213] 55:56	Some Some elephants sat on the Ark of
[1214] 55:58	the Covenant and squashed it.
[1215] 56:03	Kidding you not. It's only like inches
[1216] 56:07	tall.
[1217] 56:14	>> Um, right after they swore they didn't
[1218] 56:16	melt all the ark.
[1219] 56:20	It could have been a different batch.
[1220] 56:21	>> Um,
[1221] 56:23	Okay, let's talk about that. A rank on
[1222] 56:25	camp.
[1223] 56:26	Uh, why didn't they melt all the
[1224] 56:28	artifacts from the temple then?
[1225] 56:30	They didn't need to. Essentially, they
[1226] 56:32	had enough to pay the soldiers.
[1227] 56:34	And they just kept some of those those
[1228] 56:36	artifacts because they looked nice.
[1229] 56:39	They looked nice. They could use them as
[1230] 56:41	and we know what happened some of them.
[1231] 56:43	They used some of them as drinking
[1232] 56:44	vessels.
[1233] 56:48	That's the way. Obviously, the Nephilim
[1234] 56:51	[laughter] sat sat on it.
[1235] 56:53	>> They thought it was a chair not a
[1236] 56:54	footstool.
[1237] 56:55	>> It was chair not a footstool.
[1238] 56:57	>> [laughter]
[1239] 57:04	>> Uh, yes, good times. Good times.
[1240] 57:17	>> Carolyn
[1241] 57:17	>> Dark blade, question, wouldn't they have
[1242] 57:19	died the moment they touched the ark?
[1243] 57:21	No.
[1244] 57:22	They wouldn't have. The reason why is
[1245] 57:23	the only reason people died
[1246] 57:26	because of the ark was because the
[1247] 57:27	Shekinah glory left the ark and filled
[1248] 57:30	the temple.
[1249] 57:32	The Shekinah glory had to be with the
[1250] 57:34	ark for it to be dangerous in that way.
[1251] 57:38	Cuz what was happening is people were
[1252] 57:40	touching it.
[1253] 57:42	And it wasn't just We have to keep in
[1254] 57:43	mind every time there was a a a death
[1255] 57:46	event around the ark,
[1256] 57:47	it's usually one of two
[1257] 57:49	causes.
[1258] 57:51	The touching the physical contact is one
[1259] 57:53	of two causes that predicated the
[1260] 57:57	the summary judgment. Okay? So,
[1261] 58:01	you didn't just
[1262] 58:03	you didn't just die because you touched
[1263] 58:05	it.
[1264] 58:06	There had to be a
[1265] 58:09	basically a a defilement that happened
[1266] 58:13	before that.
[1267] 58:14	It's also true that that only that only
[1268] 58:17	happened when the Shekinah glory was
[1269] 58:19	with the ark.
[1270] 58:21	Once the Shekinah glory left the ark,
[1271] 58:24	at that point the ark is inert.
[1272] 58:27	It has no more sort of special
[1273] 58:31	How do I say this? Inherently
[1274] 58:34	zapping qualities to it?
[1275] 58:37	Inherently zapping
[1276] 58:39	qualities is that the technical the
[1277] 58:41	technical term. That's now the
[1278] 58:42	theological term for it. Inherent
[1279] 58:45	zapping qualities.
[1280] 58:55	Yeah, so
[1281] 58:57	yeah, once the Shekinah glory left the
[1282] 58:58	ark, it would have been just like a cool
[1283] 59:00	box at that point.
[1284] 59:02	So, at that point
[1285] 59:05	once it's in the temple, Shekinah glory
[1286] 59:07	left the ark of the covenant and filled
[1287] 59:09	the temple.
[1288] 59:11	Then the Shekinah glory left
[1289] 59:14	when the Israelites started setting up
[1290] 59:16	idols.
[1291] 59:19	With no Shekinah glory left in the
[1292] 59:20	temple,
[1293] 59:22	the Babylonians could have easily taken
[1294] 59:24	the ark with no consequences at all.
[1295] 59:44	Uh Dr. E. Martinez, you know I once saw
[1296] 59:48	someone ask if [clears throat] the Ark
[1297] 59:49	of the Covenant was found today, would
[1298] 59:51	it still have power? What do you guys
[1299] 59:52	think? No.
[1300] 59:54	No, if it even had been found today, it
[1301] 59:56	would have no power. Just
[1302] 59:58	it'd be no different than any of the
[1303] 59:59	boxes of King Tut.
[1304] 1:00:02	So,
[1305] 1:00:03	>> Rich Adams points out the makers, the
[1306] 1:00:06	builders [clears throat] were all
[1307] 1:00:07	touching it while they made
[1308] 1:00:08	>> Yeah.
[1309] 1:00:10	Rich Adams says,
[1310] 1:00:12	um
[1311] 1:00:13	may makers since it was uh uh
[1312] 1:00:17	it's as was builders were touching it
[1313] 1:00:18	while they were making it. Yeah, a
[1314] 1:00:19	Bezalel and a a Holy Ob were both part
[1315] 1:00:22	of the construction of the Ark. They
[1316] 1:00:24	were touching it prior to it.
[1317] 1:00:27	And
[1318] 1:00:28	um
[1319] 1:00:30	uh once it was only made holy because of
[1320] 1:00:33	the presence of the Shekinah glory after
[1321] 1:00:35	the leaving of the departure of the
[1322] 1:00:37	Shekinah glory, it no longer had any
[1323] 1:00:39	say.
[1324] 1:00:41	You it's free to be touched at that
[1325] 1:00:43	point.
[1326] 1:00:44	So,
[1327] 1:00:45	>> Do you want to take uh
[1328] 1:00:47	Rob's
[1329] 1:00:48	out of
[1330] 1:00:50	the context
[1331] 1:00:52	of the order
[1332] 1:00:53	since they are holy?
[1333] 1:00:54	>> Okay.
[1334] 1:00:56	Uh Rob here from Cerebral Apologetics
[1335] 1:00:59	for $5 Australian. Thank you for that uh
[1336] 1:01:01	super chat.
[1337] 1:01:03	Uh since the [laughter] Ark was upgraded
[1338] 1:01:05	back that battery, people got zapped
[1339] 1:01:08	into oblivion.
[1340] 1:01:10	This is from our Lord and Savior Billy
[1341] 1:01:12	Carson. Oh, boy.
[1342] 1:01:16	The uh the Ark of the Covenant is not
[1343] 1:01:19	even a capacitor.
[1344] 1:01:20	Not even capacitor.
[1345] 1:01:23	This is just
[1346] 1:01:25	This is just stupid.
[1347] 1:01:27	Uh this is Ancient Aliens kind of
[1348] 1:01:28	stupid.
[1349] 1:01:30	>> It's still going around.
[1350] 1:01:32	>> Oh, it it'll never go away. It'll This
[1351] 1:01:34	this
[1352] 1:01:35	This pseudoscience garbage will never go
[1353] 1:01:37	away.
[1354] 1:01:39	You know, we did a whole Popcorn review
[1355] 1:01:42	of um
[1356] 1:01:43	the
[1357] 1:01:44	Ancient Aliens thing on the Ark of the
[1358] 1:01:46	Covenant and
[1359] 1:01:47	at least what we could do without
[1360] 1:01:49	getting it
[1361] 1:01:50	demonetized.
[1362] 1:01:55	>> But everybody loved it.
[1363] 1:01:56	>> It's not even a good It wasn't even a
[1364] 1:01:58	good capacitor.
[1365] 1:02:01	You know, even when they when they even
[1366] 1:02:02	when they tweaked the design to turn it
[1367] 1:02:04	into a capacitor, it wasn't a good one.
[1368] 1:02:06	>> But it was That's because it was
[1369] 1:02:08	multi-purpose. It was not a way
[1370] 1:02:10	capacitor. Remember, it was a food
[1371] 1:02:12	production.
[1372] 1:02:12	>> Oh, yep. Yep, it was a food production
[1373] 1:02:14	machine uh machine, a weapon of mass
[1374] 1:02:16	destruction.
[1375] 1:02:18	Uh yeah, it was all sorts of crazy
[1376] 1:02:20	stuff.
[1377] 1:02:25	Yeah, well.
[1378] 1:02:27	>> [laughter]
[1379] 1:02:30	>> No, I mean, there's just You cannot make
[1380] 1:02:32	the Ark of the Covenant into a
[1381] 1:02:33	capacitor. It's just
[1382] 1:02:36	not not if you're following the design
[1383] 1:02:37	right.
[1384] 1:02:40	Uh it's just it's just stupid that
[1385] 1:02:41	people still believe this.
[1386] 1:02:44	All right.
[1387] 1:02:45	Thank you Thank you for that comment
[1388] 1:02:47	from the peanut gallery, Rob. [laughter]
[1389] 1:02:50	I'm sure you've you've just inflamed the
[1390] 1:02:54	the the trolls to come out with the
[1391] 1:02:57	the Of course, it's a a capacitor.
[1392] 1:02:59	[laughter]
[1393] 1:03:04	All right, next one here from Striding
[1394] 1:03:05	Hermit for $5. Thank you very much.
[1395] 1:03:08	Uh tricky question.
[1396] 1:03:10	Are you more fond of spaghetti than
[1397] 1:03:12	lasagna?
[1398] 1:03:14	No.
[1399] 1:03:17	I am much much more fun uh fond of
[1400] 1:03:20	lasagna.
[1401] 1:03:21	Lasagna is the pasta par excellence.
[1402] 1:03:26	If I go to an Italian restaurant and I
[1403] 1:03:29	don't know its quality,
[1404] 1:03:31	the first thing I order off the menu is
[1405] 1:03:34	the lasagna.
[1406] 1:03:37	Lasagna is hard to make well.
[1407] 1:03:40	It's hard to make tasty.
[1408] 1:03:43	It's very easy to cut corners on.
[1409] 1:03:46	You will know the quality of an Italian
[1410] 1:03:48	restaurant by the quality of its
[1411] 1:03:50	lasagna.
[1412] 1:03:59	Yeah, says the man with no Italian blood
[1413] 1:04:01	in his body. Yeah, sure.
[1414] 1:04:04	Dark blade, do both of those work with
[1415] 1:04:06	your diet type? No.
[1416] 1:04:09	Not all.
[1417] 1:04:12	>> Mine sucks.
[1418] 1:04:13	>> Which one sucks?
[1419] 1:04:16	>> [laughter]
[1420] 1:04:22	>> Yeah, um lasagna is just Oh my gosh,
[1421] 1:04:25	it's it's so good when done right. It's
[1422] 1:04:28	so terrible when done wrong.
[1423] 1:04:32	But I do prefer it over spaghetti.
[1424] 1:04:34	Anyone can make a good spaghetti.
[1425] 1:04:37	Making a good lasagna
[1426] 1:04:40	is difficult.
[1427] 1:04:43	>> They will They will know we are Italians
[1428] 1:04:45	by our lasagna.
[1429] 1:04:46	>> Going camp.
[1430] 1:04:50	They will know we are Italians by our
[1431] 1:04:52	lasagna.
[1432] 1:04:58	Uh Mama goes, "Doc, where is your
[1433] 1:05:00	reading list? My toaster oven dinged to
[1434] 1:05:02	tell me my white lasagna is ready."
[1435] 1:05:06	Okay.
[1436] 1:05:07	That should be exciting.
[1437] 1:05:12	Mama says, "Even bad lasagna is still
[1438] 1:05:15	okay.
[1439] 1:05:17	Yes, it is it is bad lasagna is is is
[1440] 1:05:20	still okay. But I've had some bad
[1441] 1:05:22	lasagnas. I mean I've had one that was
[1442] 1:05:24	really not good.
[1443] 1:05:27	Um so I won't I I've had one that is
[1444] 1:05:30	really not fit for consumption.
[1445] 1:05:34	>> Don't commit apostasy.
[1446] 1:05:38	>> Ooh, Jack Ray. Don't commit apostasy.
[1447] 1:05:44	Ooh.
[1448] 1:05:50	All right, let's move on here.
[1449] 1:05:53	Uh Striding Hermit for $5. Thank you for
[1450] 1:05:55	the question.
[1451] 1:05:57	Matthew 13:1-9.
[1452] 1:05:59	Jesus says, "Whoever has ears let them
[1453] 1:06:02	hear." Is that the a command which
[1454] 1:06:04	reveals the split between those with
[1455] 1:06:05	faith and those who don't? Not quite.
[1456] 1:06:08	Let's pull that up.
[1457] 1:06:12	All right, so let's go let's go to
[1458] 1:06:13	Matthew here.
[1459] 1:06:21	Matthew
[1460] 1:06:23	Matthew 13
[1461] 1:06:27	1-9
[1462] 1:06:29	All right. Uh there is a lot here.
[1463] 1:06:31	There's these he's going to start off
[1464] 1:06:32	this passage with the sower of the
[1465] 1:06:34	seeds.
[1466] 1:06:37	And then he's he's going to tell the
[1467] 1:06:39	whole parable.
[1468] 1:06:40	Then the end at verse 9 he says,
[1469] 1:06:44	"He who has ears let him hear."
[1470] 1:06:47	Verse 10 though, the disciples came and
[1471] 1:06:49	said to him, "Why do you speak to them
[1472] 1:06:52	in parables?"
[1473] 1:06:55	Verse 11
[1474] 1:06:56	and he grant answered and said to them,
[1475] 1:06:59	"To you it has been granted to know the
[1476] 1:07:00	mysteries of the kingdom of heaven,
[1477] 1:07:02	but to them it has not been granted." We
[1478] 1:07:05	know we know Earlier in this live stream
[1479] 1:07:07	we talked about grace
[1480] 1:07:10	and understanding as a form of grace.
[1481] 1:07:15	This is what's going on here.
[1482] 1:07:18	Some of them
[1483] 1:07:19	will listen and still understand it.
[1484] 1:07:24	Even though it has been has not been
[1485] 1:07:26	directly revealed to them, it's a form
[1486] 1:07:28	of grace that some understand.
[1487] 1:07:32	Those who are into God's word who really
[1488] 1:07:35	understand what's going on in God's word
[1489] 1:07:38	will be able to extrapolate
[1490] 1:07:40	from his parables even though he never
[1491] 1:07:43	taught them directly.
[1492] 1:07:46	Just by knowing the Old Testament that
[1493] 1:07:48	well.
[1494] 1:07:52	And it says here goes on here.
[1495] 1:07:55	Verse 12. For whoever has
[1496] 1:07:59	What is this? The This is the the
[1497] 1:08:01	mysteries of of God in his word.
[1498] 1:08:05	To him shall be given more.
[1499] 1:08:09	And he who shall have an abundance.
[1500] 1:08:12	But whoever does not have even what he
[1501] 1:08:15	has shall be taken away from him.
[1502] 1:08:18	So that there's that ignorance there.
[1503] 1:08:21	There's that ignorance caused by a lack
[1504] 1:08:23	of faith, a lack of understanding, a
[1505] 1:08:25	lack of willingness to know
[1506] 1:08:27	that will cause even greater poverty and
[1507] 1:08:30	confusion because of the parable.
[1508] 1:08:36	So
[1509] 1:08:37	it's one of those things where
[1510] 1:08:39	the the whoever has ears let them hear
[1511] 1:08:43	is if you've been given the ears to hear
[1512] 1:08:47	you can hear more.
[1513] 1:08:50	If you have not been given the ears to
[1514] 1:08:51	hear
[1515] 1:08:53	you will know less.
[1516] 1:08:55	So
[1517] 1:09:01	so that's that's what it is. It's not so
[1518] 1:09:03	much about faith.
[1519] 1:09:05	It's about understanding and the grace
[1520] 1:09:07	of God that has been given to some and
[1521] 1:09:09	not others.
[1522] 1:09:12	So, I hope that helps. Thank you for
[1523] 1:09:14	super chat. Really appreciate it.
[1524] 1:09:18	Striving Hermit for $5, next one.
[1525] 1:09:20	John 12:27
[1526] 1:09:22	to 30.
[1527] 1:09:24	Was this a revelation of the split
[1528] 1:09:26	between those who believe and those who
[1529] 1:09:27	don't? All right, let's look at that
[1530] 1:09:29	one, too.
[1531] 1:09:31	John
[1532] 1:09:33	chapter 12
[1533] 1:09:36	27 to 30.
[1534] 1:09:42	All right, and the text says
[1535] 1:09:44	"Now my soul has become troubled. What
[1536] 1:09:47	shall I say? Father, save me from this
[1537] 1:09:49	hour?
[1538] 1:09:51	But this is the purp- but for this
[1539] 1:09:54	purpose I came to this hour.
[1540] 1:09:57	Father, glorify your name."
[1541] 1:10:01	There came therefore a voice out of
[1542] 1:10:03	heaven. "I have been I have both
[1543] 1:10:06	glorified it and will glor- glorify it
[1544] 1:10:09	again."
[1545] 1:10:12	The multitud- The multitude therefore
[1546] 1:10:14	who stood by and heard it were saying
[1547] 1:10:16	that it had thundered. Others were
[1548] 1:10:18	saying, "An angel has spoken to him."
[1549] 1:10:22	Jesus answered and said
[1550] 1:10:24	"This voice has not come for my sake,
[1551] 1:10:27	but for your sakes."
[1552] 1:10:31	Okay, so here's the thing.
[1553] 1:10:33	Just like there were some who heard his
[1554] 1:10:35	prophet- as his parables and some
[1555] 1:10:37	understood, others went away confused.
[1556] 1:10:41	The word of God here is coming directly
[1557] 1:10:43	from heaven.
[1558] 1:10:46	God the Father is speaking directly
[1559] 1:10:50	to the people in the temple.
[1560] 1:10:53	Christ
[1561] 1:10:54	asks for God to
[1562] 1:10:58	to
[1563] 1:11:01	um in verse 27 here.
[1564] 1:11:04	Father, save me from this hour.
[1565] 1:11:08	What shall I say? The Father save me
[1566] 1:11:10	from this hour. For this purpose purpose
[1567] 1:11:12	I came to this hour. Father, glorify thy
[1568] 1:11:15	name.
[1569] 1:11:17	So, he's asking the Father to glorify
[1570] 1:11:19	his name.
[1571] 1:11:21	And that's when the voice out comes out
[1572] 1:11:22	of the heaven. And some people will be
[1573] 1:11:24	aware of that. And some people will go,
[1574] 1:11:27	"Wow, we just heard the voice of an
[1575] 1:11:29	angel or or the voice of God." Others
[1576] 1:11:32	will say, "Ah, it's just thunder."
[1577] 1:11:36	So,
[1578] 1:11:37	>> And that's the response to the people
[1579] 1:11:39	who say,
[1580] 1:11:40	"How come God doesn't do miracles so
[1581] 1:11:42	everybody believe?"
[1582] 1:11:43	God can do miracles.
[1583] 1:11:45	But not everybody believes anyway.
[1584] 1:11:47	>> Yeah, God can do miracles and not
[1585] 1:11:48	everyone will believe.
[1586] 1:11:50	Cuz some have been greatly given the
[1587] 1:11:52	grace to believe.
[1588] 1:11:53	Some haven't.
[1589] 1:11:55	And it boils down to again, who has
[1590] 1:11:57	received the grace to hear the message.
[1591] 1:12:01	We don't have I mean we are we are
[1592] 1:12:04	hardened our hearts are hardened.
[1593] 1:12:07	Without God's grace, we cannot hear the
[1594] 1:12:10	message.
[1595] 1:12:13	And this is just another example of that
[1596] 1:12:15	where grace has been given to some that
[1597] 1:12:17	they understood that this was a voice
[1598] 1:12:19	from heaven.
[1599] 1:12:21	It said an angel spoke.
[1600] 1:12:23	And others
[1601] 1:12:25	just
[1602] 1:12:27	brushed it off as as thunder.
[1603] 1:12:29	So, again, it boils down to who has the
[1604] 1:12:31	grace here.
[1605] 1:12:38	All right, moving on.
[1606] 1:12:42	Open your eyes, asks the member question
[1607] 1:12:44	here.
[1608] 1:12:45	Does Acts 17:26 refute the notion of
[1609] 1:12:49	other humans before Adam? Okay, great
[1610] 1:12:51	question. Let's take a look at it.
[1611] 1:12:55	Acts
[1612] 1:12:57	17
[1613] 1:12:59	verse 26.
[1614] 1:13:05	Okay, and it says here, "And he made
[1615] 1:13:07	from one every nation of mankind to live
[1616] 1:13:10	on
[1617] 1:13:11	all the face of the earth, having
[1618] 1:13:13	determined their appointed times and
[1619] 1:13:14	boundaries of their habitation."
[1620] 1:13:17	One what?
[1621] 1:13:21	What is the What is the object that the
[1622] 1:13:25	one is pointing to?
[1623] 1:13:27	Doesn't say from one man.
[1624] 1:13:30	It just says one.
[1625] 1:13:33	Now, if you're looking at this verse,
[1626] 1:13:36	say exit exegetically,
[1627] 1:13:40	you would have to say, "He made from one
[1628] 1:13:43	every nation of mankind."
[1629] 1:13:46	One nation
[1630] 1:13:47	would be probably the the more natural
[1631] 1:13:49	reading here.
[1632] 1:13:51	This he made from one nation every
[1633] 1:13:53	nation of mankind to live a That would
[1634] 1:13:55	be the That would be the
[1635] 1:13:58	That would be the first reading you
[1636] 1:14:00	would expository reading you would make
[1637] 1:14:02	from the Greek here.
[1638] 1:14:03	That it isn't one nation or isn't one
[1639] 1:14:06	man, but one nation.
[1640] 1:14:08	Now, many do interpret this as one man,
[1641] 1:14:10	but the text doesn't say explicitly.
[1642] 1:14:15	So,
[1643] 1:14:18	um
[1644] 1:14:19	So, because it doesn't say that
[1645] 1:14:21	explicitly,
[1646] 1:14:22	it would be very dodgy to try to infer
[1647] 1:14:27	that this is implying that there were no
[1648] 1:14:29	other humans before Adam.
[1649] 1:14:31	Doesn't say that. And here, it doesn't
[1650] 1:14:33	even say Adam.
[1651] 1:14:36	So, even if it was one human,
[1652] 1:14:39	it doesn't necessarily mean Adam.
[1653] 1:14:44	So,
[1654] 1:14:48	a line cone cap, what nation is that?
[1655] 1:14:51	The nation from which the first human
[1656] 1:14:53	sprang up from. The ones that were
[1657] 1:14:55	created
[1658] 1:14:57	in Genesis 1.
[1659] 1:15:01	So, that is a poss- that is an
[1660] 1:15:03	exegetical possibility here. It's an
[1661] 1:15:05	exegetical possibility that this is
[1662] 1:15:07	Adam. That's possible.
[1663] 1:15:09	It's a exegetical possibility that it
[1664] 1:15:12	was one human
[1665] 1:15:14	before Adam. That's a possibility. It's
[1666] 1:15:17	even an exegetical possibility and
[1667] 1:15:19	probably even the more likely uh
[1668] 1:15:21	uh exegetical possibility that it's one
[1669] 1:15:23	nation.
[1670] 1:15:24	One nation
[1671] 1:15:26	stemming from the first humans created
[1672] 1:15:28	in Genesis 1.
[1673] 1:15:30	So,
[1674] 1:15:31	you know,
[1675] 1:15:32	e- either way, this could be worked out.
[1676] 1:15:36	You know, Mama says, could be race,
[1677] 1:15:38	could be nation. Yeah. Doesn't say.
[1678] 1:15:41	The text doesn't say.
[1679] 1:15:44	It implies certain oneness to many,
[1680] 1:15:48	but it doesn't say one what.
[1681] 1:15:52	So,
[1682] 1:15:52	that's very going to be very very
[1683] 1:15:54	difficult to to try to sort of breathe a
[1684] 1:16:00	a young earth creationist view into this
[1685] 1:16:04	without that specificity in the text.
[1686] 1:16:09	Cuz the text doesn't say.
[1687] 1:16:12	And if the text doesn't say,
[1688] 1:16:14	you
[1689] 1:16:16	it would be huge of you not to read
[1690] 1:16:18	something into that.
[1691] 1:16:21	Just saying.
[1692] 1:16:25	I said Jesus is a bad thing.
[1693] 1:16:28	>> I hold the position that
[1694] 1:16:31	the text could say that.
[1695] 1:16:34	That's not
[1696] 1:16:37	I mean, if that's what it could mean.
[1697] 1:16:39	>> It could mean that.
[1698] 1:16:41	But that's
[1699] 1:16:43	That's Look, that's That's a sufficient
[1700] 1:16:45	reading, but not a necessary reading.
[1701] 1:16:48	But that's a problem if because the
[1702] 1:16:50	question is,
[1703] 1:16:52	does this refute
[1704] 1:16:54	other the notion of other humans before
[1705] 1:16:57	Adam? That's the question.
[1706] 1:16:59	So,
[1707] 1:17:04	um
[1708] 1:17:14	So, the answer to that is No, it doesn't
[1709] 1:17:15	refute it because it's not specific
[1710] 1:17:17	enough to refute it.
[1711] 1:17:22	But you will get guys who do read that
[1712] 1:17:25	in that way.
[1713] 1:17:29	Okay.
[1714] 1:17:34	Moving on here.
[1715] 1:17:38	Uh Open Your Eyes asks, "Is Matthew
[1716] 1:17:39	12:32 evidence that someone could repent
[1717] 1:17:42	and be forgiven in the next life?
[1718] 1:17:44	Seems to imply there are forgivable sins
[1719] 1:17:46	in the age to come."
[1720] 1:17:48	Let's look at that.
[1721] 1:17:53	Matthew 12
[1722] 1:17:58	32
[1723] 1:18:02	Okay.
[1724] 1:18:04	Not 23:32.
[1725] 1:18:09	All right. Um the text here says, "And
[1726] 1:18:11	whoever shall speak a word against the
[1727] 1:18:13	Son of Man, it shall be forgiven him.
[1728] 1:18:16	But whoever shall speak against the Holy
[1729] 1:18:18	Spirit, it shall not be forgiven him
[1730] 1:18:21	either in this age or the age to come."
[1731] 1:18:26	All right. Now,
[1732] 1:18:29	there could Here's the thing.
[1733] 1:18:32	When we talk about the forgiveness of
[1734] 1:18:34	sins,
[1735] 1:18:37	um one of the things we have to keep in
[1736] 1:18:39	mind is that all forgiveness stems
[1737] 1:18:44	from the crucifixion.
[1738] 1:18:46	All of it.
[1739] 1:18:48	Every single act of forgiveness by God
[1740] 1:18:53	is covered by the blood of Jesus Christ.
[1741] 1:18:57	Every last sin.
[1742] 1:19:01	The sins of the past,
[1743] 1:19:04	the sins of this age,
[1744] 1:19:07	and the sins to come.
[1745] 1:19:12	So,
[1746] 1:19:14	when the you speak word against the son
[1747] 1:19:17	of man,
[1748] 1:19:18	it will be forgiven cuz that's covered
[1749] 1:19:20	on the cross.
[1750] 1:19:23	Covered on the cross,
[1751] 1:19:25	past, present, and future.
[1752] 1:19:29	Because it's
[1753] 1:19:30	it's it's one of those things that's
[1754] 1:19:32	paid for and entirely on the cross.
[1755] 1:19:37	Speaking against the Holy Spirit
[1756] 1:19:39	shall not be forgiven
[1757] 1:19:42	either in this age or the age to come.
[1758] 1:19:47	It's one of those sins
[1759] 1:19:49	that is excluded
[1760] 1:19:53	from any future. It's not that that that
[1761] 1:19:57	that that that
[1762] 1:19:59	Cuz here's the thing, other people are
[1763] 1:20:00	going to come after Christ, after these
[1764] 1:20:02	people gentlemen talk,
[1765] 1:20:05	and they're going to receive forgiveness
[1766] 1:20:06	that happened thousands of years prior
[1767] 1:20:09	on the cross.
[1768] 1:20:15	So, that
[1769] 1:20:18	that repentance and forgiveness
[1770] 1:20:22	The repentance
[1771] 1:20:23	can happen in the future,
[1772] 1:20:25	but the forgiveness happened during the
[1773] 1:20:27	time of Christ.
[1774] 1:20:29	Okay?
[1775] 1:20:31	But in the case of say
[1776] 1:20:33	blasphemy against the Holy Spirit
[1777] 1:20:36	and we have to be careful here that this
[1778] 1:20:38	whoever shall speak against
[1779] 1:20:41	whoever this
[1780] 1:20:42	this sort of it's an ongoing speech. So
[1781] 1:20:45	this isn't just a one-time blasphemy of
[1782] 1:20:48	the Holy Spirit and then
[1783] 1:20:50	you know
[1784] 1:20:51	you repent
[1785] 1:20:53	which is very unlikely to happen anyway.
[1786] 1:20:55	This is an ongoing act of defiance
[1787] 1:20:58	against the Holy Spirit. So it's it's
[1788] 1:21:00	it's on that sort of level here.
[1789] 1:21:03	So
[1790] 1:21:07	Mr. White asks a very pertinent a
[1791] 1:21:10	follow-up here. Do you think apostasy is
[1792] 1:21:12	the same as blasphemy against the Holy
[1793] 1:21:13	Spirit? Oh yeah.
[1794] 1:21:15	It's exactly the same.
[1795] 1:21:17	Apostasy is the falling away from the
[1796] 1:21:19	faith.
[1797] 1:21:20	Basically you turn your back on the
[1798] 1:21:22	faith and you walk away.
[1799] 1:21:24	That's what apostasy uh is. It's the
[1800] 1:21:27	turning away from the faith.
[1801] 1:21:30	It's the same thing with the blasphemy
[1802] 1:21:32	against the Holy Spirit is where you're
[1803] 1:21:34	you're basically turning your back on
[1804] 1:21:35	the Holy Spirit and you're walking away.
[1805] 1:21:41	So then
[1806] 1:21:44	in that particular case
[1807] 1:21:46	there is no remediation for this because
[1808] 1:21:48	it is a rejection of God in its its in
[1809] 1:21:51	its entirety.
[1810] 1:21:55	Harry Stark asks, "What is blasphemy
[1811] 1:21:56	against the Holy Spirit?"
[1812] 1:21:58	It's basically holding the Holy Spirit
[1813] 1:22:01	as worthless. That's what it is in a
[1814] 1:22:03	nutshell.
[1815] 1:22:05	>> And since the Holy Spirit is the only
[1816] 1:22:07	one that calls you to repent
[1817] 1:22:08	>> Yeah.
[1818] 1:22:09	>> God can never forgive you cuz you never
[1819] 1:22:11	repent.
[1820] 1:22:11	>> Yeah.
[1821] 1:22:12	And as Mrs. Producer said, "Since it's
[1822] 1:22:14	the Holy Spirit that calls you to repent
[1823] 1:22:18	if you reject the Holy Spirit you cannot
[1824] 1:22:21	be you cannot come to repentance.
[1825] 1:22:24	Without repentance you cannot be saved.
[1826] 1:22:29	You have rejected the means of
[1827] 1:22:30	salvation.
[1828] 1:22:32	You have You have You have rejected the
[1829] 1:22:34	agent of salvation.
[1830] 1:22:37	>> So, that's the one thing?
[1831] 1:22:40	The one sin
[1832] 1:22:41	God can't forgive you?
[1833] 1:22:43	>> Yeah.
[1834] 1:22:43	>> Cuz you
[1835] 1:22:44	destroyed the path
[1836] 1:22:45	>> Yeah. It's
[1837] 1:22:46	It's It's the one sin that you cannot be
[1838] 1:22:49	forgiven of because you because you
[1839] 1:22:51	destroyed the path
[1840] 1:22:54	to forgiveness.
[1841] 1:22:58	So,
[1842] 1:22:59	that's why it's such It's such It's such
[1843] 1:23:01	a weighty thing.
[1844] 1:23:03	It's because
[1845] 1:23:05	you you you basically rejected the one
[1846] 1:23:07	who could bring you to repentance to be
[1847] 1:23:10	saved. Without the Holy Spirit, you
[1848] 1:23:12	cannot repent. Without repentance, you
[1849] 1:23:14	cannot be saved.
[1850] 1:23:16	There's no then forgiveness for what you
[1851] 1:23:19	have done. You have decided to take all
[1852] 1:23:21	that onto yourself.
[1853] 1:23:23	So,
[1854] 1:23:28	So, then this whole idea then
[1855] 1:23:30	that
[1856] 1:23:31	any sin
[1857] 1:23:33	was paid for on at Calvary.
[1858] 1:23:37	It's paid for on the cross.
[1859] 1:23:39	Past sins, present sins, future sins.
[1860] 1:23:43	But, there's no path forward.
[1861] 1:23:47	If you if you speak against the Holy
[1862] 1:23:49	Spirit and turn away the Holy Spirit,
[1863] 1:23:51	there's no path forward for you.
[1864] 1:23:54	This is no way through that.
[1865] 1:24:00	You cannot go forward. And if you cannot
[1866] 1:24:03	go forward, there's no forgiveness in
[1867] 1:24:05	that age or the age to come.
[1868] 1:24:09	So, it isn't that
[1869] 1:24:12	that sins of somebody in the present are
[1870] 1:24:15	forgivable in the future.
[1871] 1:24:17	That's not what this first passage is
[1872] 1:24:19	talking about. What it's talking about
[1873] 1:24:21	is that you are completely denied
[1874] 1:24:24	forgiveness
[1875] 1:24:26	because you've cut off the one that can
[1876] 1:24:28	bring you to forgiveness.
[1877] 1:24:31	That's what this passage is talking
[1878] 1:24:33	about here.
