[0] 0:00	Heat.
[1067] 58:16	explanation of this, but essentially, if
[1068] 58:19	your country is attacked, that's the
[1069] 58:21	time for war.
[1070] 58:24	There is a completely justified time for
[1071] 58:29	a Christian to go and participate in a
[1072] 58:32	war.
[1073] 58:35	And I'm not saying that to my pacifist
[1074] 58:38	brothers that they aren't right to be
[1075] 58:42	pacifists. If God calls you to be a
[1076] 58:45	pacifist, then God bless you on that.
[1077] 58:48	But that is not necessarily a biblical
[1078] 58:51	mandate. That's an interpretive mandate.
[1079] 58:54	Okay. So,
[1080] 58:58	so I think that
[1081] 59:00	the time for war is essentially when
[1082] 59:04	your country is attacked.
[1083] 59:06	So,
[1084] 59:13	so there is a just there is a time for
[1085] 59:17	just combat
[1086] 59:20	when someone is going to attack your
[1087] 59:22	home.
[1088] 59:23	attack your family.
[1089] 59:26	That's a time for war.
[1090] 59:28	That's a self-defense thing. And there's
[1091] 59:32	nothing wrong with self-defense.
[1092] 59:34	When Jesus said to
[1093] 59:38	um to the disciples, to the apostles,
[1094] 59:40	you know that my time's short with you
[1095] 59:42	guys.
[1096] 59:44	So, what you need to do is you need to
[1097] 59:47	sell a cloak and buy a sword. Now
[1098] 59:52	the sword is a kind is is a I think it's
[1099] 59:55	a called a macarios. It's a defensive
[1100] 59:57	sword. It's a short sword.
[1101] 1:00:00	It's a sort of short sword that you
[1102] 1:00:02	would use to defend yourself.
[1103] 1:00:06	So there is biblical warrant for weapons
[1104] 1:00:09	for defensive purposes.
[1105] 1:00:12	So,
[1106] 1:00:17	uh, Dark Blade and if if an ally that
[1107] 1:00:20	you've treaty obligation to defend is
[1108] 1:00:22	attacked, that's a time for war. Yeah,
[1109] 1:00:25	absolutely. Because here's the thing. If
[1110] 1:00:28	your treaty you've you've made a treaty
[1111] 1:00:31	promise, that's what a treaty is, is
[1112] 1:00:33	promise. It's a covenant.
[1113] 1:00:36	And and these sort of defense covenants
[1114] 1:00:38	go way back in history. Many suzarin
[1115] 1:00:41	treaties were defense um uh covenants.
[1116] 1:00:45	See, so if you your neighbors unjustly
[1117] 1:00:51	attacked,
[1118] 1:00:54	yeah, you owe it if you've made that
[1119] 1:00:57	covenant to go defend them.
[1120] 1:01:01	So,
[1121] 1:01:04	so absolutely it's it's one of those
[1122] 1:01:06	things where yes, there are just times
[1123] 1:01:09	for war.
[1124] 1:01:13	Yeah, ego is not one of them. National
[1125] 1:01:15	pride is not a reason to go to war. Uh
[1126] 1:01:19	stealing other people's property and
[1127] 1:01:20	land is not a reason for war.
[1128] 1:01:26	taking what you don't own.
[1129] 1:01:29	You know,
[1130] 1:01:31	there's um and in the New Testament is
[1131] 1:01:34	written that
[1132] 1:01:38	the cause of war is because people want
[1133] 1:01:41	and ask not.
[1134] 1:01:45	So,
[1135] 1:01:49	big destiny. Interesting. In that verse,
[1136] 1:01:51	Jesus mentions buying a sword. mentions
[1137] 1:01:53	a specific kind of sword. Yeah, it is.
[1138] 1:01:56	Yeah.
[1139] 1:02:01	>> Ryan asks,
[1140] 1:02:05	>> yeah, and Ryan asks, "Is every war
[1141] 1:02:08	unjust for one side?"
[1142] 1:02:11	Um,
[1143] 1:02:13	that's a good question,
[1144] 1:02:16	but a lot of wars are unjust for one
[1145] 1:02:19	side. Now there are there are times when
[1146] 1:02:23	wars happen when neither side is just.
[1147] 1:02:28	That happens too.
[1148] 1:02:31	You know that that happens that happens
[1149] 1:02:33	very frequently where both sides are
[1150] 1:02:36	doing it for unjust reasons. Okay. So
[1151] 1:02:40	that's entirely possible.
[1152] 1:02:43	It's less pos it's less likely that both
[1153] 1:02:46	sides are unjust in a conflict.
[1154] 1:02:50	But cuz it's it's quite quite frankly
[1155] 1:02:53	it's it's hard to for both sides to do
[1156] 1:02:56	war for noble reasons.
[1157] 1:02:58	You know, somebody is starting it.
[1158] 1:03:04	But
[1159] 1:03:08	so
[1160] 1:03:11	>> yeah.
[1161] 1:03:14	>> Yeah. So, you know,
[1162] 1:03:17	>> you do need to see past the propaganda
[1163] 1:03:20	to what is the actions and motivations
[1164] 1:03:23	of of whatever side is
[1165] 1:03:27	is is is going on. Like it shouldn't be
[1166] 1:03:30	a surprise that to anyone right now that
[1167] 1:03:32	we are on a precipice of of potential
[1168] 1:03:35	world conflict at the moment.
[1169] 1:03:38	Um the question is
[1170] 1:03:42	is I mean first of all in the west here
[1171] 1:03:45	we have a NATO alliance where we promise
[1172] 1:03:48	to defend our neighbors against
[1173] 1:03:50	incursion. Okay, that's the NATO treaty.
[1174] 1:03:55	But right now,
[1175] 1:03:58	you've got
[1176] 1:04:01	um you've got
[1177] 1:04:04	a certain certain country sending
[1178] 1:04:07	aircraft illegally
[1179] 1:04:10	into the airspace of other countries
[1180] 1:04:15	and then basically threatening if you
[1181] 1:04:17	shoot down that aircraft, it's all out
[1182] 1:04:19	war.
[1183] 1:04:22	Well, that is a direct provocation under
[1184] 1:04:24	international law.
[1185] 1:04:26	So, would would NATO be justified in
[1186] 1:04:30	shooting down that aircraft? Absolutely.
[1187] 1:04:34	Absolutely. NATO would be justified in
[1188] 1:04:36	shooting down that aircraft. There's no
[1189] 1:04:38	question.
[1190] 1:04:40	Their territorial sovereignty has been
[1191] 1:04:42	breached and it has been breached to
[1192] 1:04:45	test the resolve of their sovereignty.
[1193] 1:04:49	So there's no issue about that being an
[1194] 1:04:53	unjustifiable act. Now if that other
[1195] 1:04:57	country then responds
[1196] 1:05:01	after their
[1197] 1:05:04	provocation that would make them an
[1198] 1:05:07	unjust combatant.
[1199] 1:05:11	So
[1200] 1:05:17	>> yeah,
[1201] 1:05:24	>> uh Dark Blade asks, "Was there a just
[1202] 1:05:26	side in the 1980s Iran Iraq war?" I
[1203] 1:05:30	don't think so, but I'm really not up on
[1204] 1:05:32	that conflict. As I best recall, both
[1205] 1:05:36	sides were trying to
[1206] 1:05:39	um
[1207] 1:05:40	whack the other.
[1208] 1:05:43	So, I don't think there was a just side
[1209] 1:05:44	on that one, but I'm not sure. I'm not
[1210] 1:05:46	up on the details of that.
[1211] 1:05:51	Uh Andrew Graham
[1212] 1:05:54	goes, "What can the Canadian forces do
[1213] 1:05:56	about it in their current condition?"
[1214] 1:05:58	Laugh out loud.
[1215] 1:06:00	Oh.
[1216] 1:06:02	Oh. Canadian forces are spoiling for a
[1217] 1:06:05	fight.
[1218] 1:06:09	Yeah. Um
[1219] 1:06:13	they're they're Look, here's here's the
[1220] 1:06:14	thing you got to understand about
[1221] 1:06:15	Canadian forces. They're not well
[1222] 1:06:17	equipped. They're not well supplied,
[1223] 1:06:22	but
[1224] 1:06:24	they are
[1225] 1:06:27	deviously creative,
[1226] 1:06:30	especially when it comes to the Geneva
[1227] 1:06:32	suggestions.
[1228] 1:06:38	If you know anything about the history
[1229] 1:06:40	of Canadian warfare,
[1230] 1:06:43	oh boy, you do not want you do not want
[1231] 1:06:47	to fight um the maple syrup people.
[1232] 1:06:54	They have never lost a war and half of
[1233] 1:06:58	the Geneva suggestions were written
[1234] 1:07:00	because of the a because of what
[1235] 1:07:03	Canadians did.
[1236] 1:07:06	Yeah, it's uh
[1237] 1:07:10	and besides if they start arming the
[1238] 1:07:13	geese. Oh yeah, that's that's a war
[1239] 1:07:15	crime all on its own.
[1240] 1:07:21	Yeah, it's Canadians. Canadians are very
[1241] 1:07:24	Canadian soldiers are very well trained.
[1242] 1:07:27	They are they're one of the few soldiers
[1243] 1:07:31	that are well adapted, well trained in
[1244] 1:07:34	cold weather climates.
[1245] 1:07:37	Um, and they think outside the box.
[1246] 1:07:40	Yeah, you don't you don't want to mess
[1247] 1:07:42	with them.
[1248] 1:07:44	Even Russians don't want to mess with
[1249] 1:07:45	them.
[1250] 1:07:52	Yeah. They don't want to mess with the
[1251] 1:07:53	maple syrup people. They They don't They
[1252] 1:07:55	don't. Nobody does.
[1253] 1:07:58	because they're a little too eager.
[1254] 1:08:00	Little too eager to get into the fight.
[1255] 1:08:10	Oh, Danny a minute. I've been telling
[1256] 1:08:12	people they're all psychopaths up there
[1257] 1:08:14	for years, but no one believes me.
[1258] 1:08:18	Yeah.
[1259] 1:08:20	Gabe Reagan says, "Canadian military
[1260] 1:08:22	history during World War I is basically
[1261] 1:08:23	a list of war crimes." Yeah, but here's
[1262] 1:08:26	the thing. Their attitude, the Canadian,
[1263] 1:08:29	you know, military's attitude is it's
[1264] 1:08:30	not a war crime the first time.
[1265] 1:08:36	>> He's that cocky.
[1266] 1:08:38	>> Yeah. I mean, there is
[1267] 1:08:53	one Yes. Yeah. Where every the sport
[1268] 1:08:58	every every every
[1269] 1:09:00	game ends up in a fight.
[1270] 1:09:05	Yeah. Just um
[1271] 1:09:08	Yeah. Don't do it, guys. Don't don't
[1272] 1:09:10	don't mess with the Canadians. You know,
[1273] 1:09:11	it's nobody nobody ends up happy after
[1274] 1:09:14	that. Just don't do it.
[1275] 1:09:17	>> Again, it's
[1276] 1:09:19	>> Yeah. It's it's a matter of the heart.
[1277] 1:09:21	If you're talking just
[1278] 1:09:33	Yeah, you don't want to be a
[1279] 1:09:34	wararmonger.
[1280] 1:09:36	You just don't want to do it.
[1281] 1:09:40	Uh, Dark Blade, the Canadian
[1282] 1:09:41	peacekeeping troops once beat Croatians
[1283] 1:09:44	who outnumbered them 3 to1. Oh, yeah.
[1284] 1:09:47	Well, this is this is one of the things
[1285] 1:09:48	which was very interesting. Um they were
[1286] 1:09:52	also sent as uh peacekeepers to the
[1287] 1:09:54	Somal to Somalia
[1288] 1:09:57	and
[1289] 1:09:59	um nobody messed with them. They would
[1290] 1:10:02	always they would they would always take
[1291] 1:10:03	pot shots at the Americans. Nobody
[1292] 1:10:06	messed with Canadian peacekeepers,
[1293] 1:10:08	you know, once they saw those those blue
[1294] 1:10:10	helmets. It's like, "Oh, no, no, no.
[1295] 1:10:13	Blue helmets and the and the Canadian
[1296] 1:10:14	flags. No one messed with them.
[1297] 1:10:27	Big destiny. Imagine a country of
[1298] 1:10:29	Wisconsiners with nothing better to do.
[1299] 1:10:31	Oh, and some French people. Mhm.
[1300] 1:10:36	Yeah. Yeah. All right, let's move on
[1301] 1:10:39	here.
[1302] 1:10:43	>> The bottom line is pray for peace.
[1303] 1:10:44	Always pray for peace.
[1304] 1:10:48	But there there are there is a there is
[1305] 1:10:50	a proper time for war, too. There is a
[1306] 1:10:54	proper time for war.
[1307] 1:10:56	Okay, JCM for $5. Thank you very much
[1308] 1:10:59	for the super chat.
[1309] 1:11:01	Why does Paul say Jesus was hung on a
[1310] 1:11:03	tree? Acts 5:30, Acts 10:39, Acts 13:29,
[1311] 1:11:08	and Galatians 3:13 use the Greek,
[1312] 1:11:12	ancient Greek word for tree, zylm. Yeah.
[1313] 1:11:14	Okay. That is because it's a euphemism.
[1314] 1:11:18	That's what it is. Crosses, which is
[1315] 1:11:21	staros,
[1316] 1:11:23	they're made of wood. And the thing is
[1317] 1:11:27	with staros
[1318] 1:11:29	is
[1319] 1:11:30	it's not a
[1320] 1:11:34	not a flattering thing in in the Roman
[1321] 1:11:37	world. Okay.
[1322] 1:11:40	Saros were was assign was was associated
[1323] 1:11:44	with criminality.
[1324] 1:11:47	It was associated with criminality.
[1325] 1:11:51	So
[1326] 1:11:53	Orion con says cursed is anyone who
[1327] 1:11:56	hangs on a tree. Yeah. Um
[1328] 1:12:02	but it's also it's also a euphemism and
[1329] 1:12:05	it's a Roman euphemism. It's a euphemism
[1330] 1:12:07	that
[1331] 1:12:09	was basically everyone knew what Paul
[1332] 1:12:12	meant when he when he said Jesus hung on
[1333] 1:12:15	a tree that it was a cross. Crosses are
[1334] 1:12:19	made of wood,
[1335] 1:12:21	but they're also shameful. They're also
[1336] 1:12:23	shameful. As I said, it's something that
[1337] 1:12:26	would have if to his to his Roman
[1338] 1:12:28	audience, if he said to to his Roman
[1339] 1:12:32	audience, Jesus was hung on a cross, a
[1340] 1:12:35	staros,
[1341] 1:12:36	the first immediate cultural reaction
[1342] 1:12:39	would be why why why would I want to
[1343] 1:12:40	associate with this criminal
[1344] 1:12:45	were was associated with criminality?
[1345] 1:12:48	Zylon wasn't.
[1346] 1:12:52	though it's a euphemism.
[1347] 1:12:56	It's a softer euphemism, but everyone
[1348] 1:12:58	knew what it meant.
[1349] 1:13:00	It just didn't have that that that
[1350] 1:13:02	visceral reaction to it.
[1351] 1:13:12	Dark Bite says, "I heard from Medatron
[1352] 1:13:14	that one Roman writer said even hearing
[1353] 1:13:16	the word cross was derogatory." Yeah.
[1354] 1:13:19	Oh, yeah. It was it was it was as I said
[1355] 1:13:21	it was it was associated with hard
[1356] 1:13:23	associated with criminality.
[1357] 1:13:27	Nice people didn't end up on crosses.
[1358] 1:13:31	Uh in fact if you were a Roman citizen
[1359] 1:13:35	one of the benefits of being a Roman
[1360] 1:13:36	citizen
[1361] 1:13:38	was you were ineligible to be executed
[1362] 1:13:42	by crucifixion.
[1363] 1:13:47	So,
[1364] 1:13:50	so as a Roman citizen, you could not be
[1365] 1:13:52	crucified.
[1366] 1:13:54	That was one of the benefits of Roman
[1367] 1:13:56	citizenship was that you were not
[1368] 1:14:01	Oh, yeah. They when they suggested that
[1369] 1:14:04	Paul be crucified, it was like, "Wait a
[1370] 1:14:06	minute. You're about to crucify a Roman
[1371] 1:14:08	citizen. That's a no." No.
[1372] 1:14:13	Yeah. They got they got Paul got a lot
[1373] 1:14:16	more respect once he revealed he was a
[1374] 1:14:18	Roman citizen. As a Roman citizen, you
[1375] 1:14:20	cannot be crucified.
[1376] 1:14:26	Now, they found another way to kill him,
[1377] 1:14:28	but that was still within the legal
[1378] 1:14:31	bounds, but you couldn't crucify him.
[1379] 1:14:35	>> And again,
[1380] 1:14:38	>> Yeah. Yeah. because of that absolute
[1381] 1:14:41	connotation with criminality
[1382] 1:14:45	and criminality by foreigners.
[1383] 1:14:49	So,
[1384] 1:14:52	so it was a very very important benefit
[1385] 1:14:55	of being a Roman citizen that you
[1386] 1:14:56	couldn't be crucified.
[1387] 1:14:59	But Paul being a Roman citizen was aware
[1388] 1:15:05	of the association
[1389] 1:15:08	uh of of the cross with criminality,
[1390] 1:15:13	which is why he chooses to use the word
[1391] 1:15:16	xylon or tree as a euphemism.
[1392] 1:15:27	ASAC, I hate how creatively people
[1393] 1:15:29	killed each other back in the day and
[1394] 1:15:31	today.
[1395] 1:15:32	People don't change. That's the one
[1396] 1:15:35	thing you learn from history is people
[1397] 1:15:36	don't learn from history.
[1398] 1:15:39	People don't change. People are exactly
[1399] 1:15:40	the same today as they were 5,000 years
[1400] 1:15:43	ago.
[1401] 1:15:57	Oh yeah.
[1402] 1:16:00	>> Oh yeah.
[1403] 1:16:03	>> Oh yeah.
[1404] 1:16:05	>> Oh yeah.
[1405] 1:16:07	They just
[1406] 1:16:14	>> uh Bark Blade, if they knew that what
[1407] 1:16:16	Paul meant, they wouldn't then wouldn't
[1408] 1:16:19	the criminality implication of still
[1409] 1:16:20	apply. It's a visceral response. It's
[1410] 1:16:24	it's not it's this is not a
[1411] 1:16:27	this is not a how do I say this? They
[1412] 1:16:30	knew what he meant,
[1413] 1:16:32	but it didn't have the immediate
[1414] 1:16:34	visceral reaction.
[1415] 1:16:37	Okay?
[1416] 1:16:40	So, you got to keep that in mind that
[1417] 1:16:42	people do respond negatively to some
[1418] 1:16:46	terms and this is why we have
[1419] 1:16:48	euphemisms.
[1420] 1:16:52	>> Euphemis
[1421] 1:16:56	Yeah. Yeah. Yeah. I mean, for example,
[1422] 1:16:58	my my producer came up with this uh
[1423] 1:17:02	euphemism that ladies powder their nose.
[1424] 1:17:05	They don't go use the toilet. They don't
[1425] 1:17:07	go take a dump.
[1426] 1:17:09	>> I did not say that specifically.
[1427] 1:17:13	>> Okay. It's a euphemism, though. It's a
[1428] 1:17:16	euphemism.
[1429] 1:17:21	>> Okay. It's it's it's a way of saying it
[1430] 1:17:24	in a more polite, socially acceptable
[1431] 1:17:27	way.
[1432] 1:17:30	So, the use of Zealon is much more
[1433] 1:17:33	socially acceptable way and is less
[1434] 1:17:36	likely to get that visceral response
[1435] 1:17:39	than Staros is.
[1436] 1:17:42	So even though they knew exactly what he
[1437] 1:17:44	meant, it didn't have the same
[1438] 1:17:48	same sort of nastiness.
[1439] 1:17:53	Uh Patoule says here, Cisil said that no
[1440] 1:17:56	one should dirty their rhetoric with
[1441] 1:17:57	nasty words like cross, vinegar, just
[1442] 1:18:01	use euphemisms.
[1443] 1:18:03	Yeah, that was very common in the day.
[1444] 1:18:11	Yeah, they're not just not words said
[1445] 1:18:13	employ society.
[1446] 1:18:15	So even though there would have been
[1447] 1:18:17	that implication of criminality, it's
[1448] 1:18:19	not overt.
[1449] 1:18:25	So JCM, I hope that answers the
[1450] 1:18:27	question. Thank you for the super chat.
[1451] 1:18:29	Very much appreciated.
[1452] 1:18:41	Hack asks a question here. Doctor and
[1453] 1:18:44	producer, are you two fans of the show
[1454] 1:18:46	Hercules with Kevin Sorbo?
[1455] 1:18:49	I have got an odd relationship with the
[1456] 1:18:52	show Hercules.
[1457] 1:18:55	I'm not a fan. Okay. I'm not a fan.
[1458] 1:19:00	It just so happened though when I was
[1459] 1:19:03	when I was still single and had to do a
[1460] 1:19:05	lot of business travel,
[1461] 1:19:07	every time I went on business travel,
[1462] 1:19:10	Hercules would be playing on the
[1463] 1:19:11	television.
[1464] 1:19:15	So, it's a show I only watched during
[1465] 1:19:17	business travel.
[1466] 1:19:20	[Laughter]
[1467] 1:19:22	So,
[1468] 1:19:24	[Laughter]
[1469] 1:19:27	I wasn't a fan of it, though. How about
[1470] 1:19:29	you?
[1471] 1:19:35	>> Mrs. Producer says it was entertaining,
[1472] 1:19:37	but she wouldn't call herself a fan.
[1473] 1:19:40	Okay.
[1474] 1:19:46	>> She liked the sidekick. She said the
[1475] 1:19:48	sidekick made her laugh. I just didn't
[1476] 1:19:50	care.
[1477] 1:19:52	It wasn't my thing. I mean, I was a sci
[1478] 1:19:56	I was a science fiction.
[1479] 1:19:58	I mean, I really was into science
[1480] 1:20:01	fiction.
[1481] 1:20:02	Not so much a Greek fantasy. That wasn't
[1482] 1:20:04	my really my thing. So,
[1483] 1:20:08	but I did watch it when I was on the
[1484] 1:20:10	road. But that's that's it. That's about
[1485] 1:20:12	it. That's the only time I ever watched
[1486] 1:20:14	it was when I was on the road.
[1487] 1:20:18	And sure enough, every hotel I ever went
[1488] 1:20:20	to had Hercules playing, usually in a
[1489] 1:20:24	marathon. This was two or three hours of
[1490] 1:20:26	nothing but but Hercules. And you could
[1491] 1:20:28	change the channel and still find
[1492] 1:20:30	Hercules.
[1493] 1:20:36	>> 50 channels and it's all Hercules.
[1494] 1:20:40	[Laughter]
[1495] 1:20:45	>> So it was
[1496] 1:20:47	[Laughter]
[1497] 1:20:51	Oh boy. Dossman
[1498] 1:20:55	was for legendary journeys only. Uh
[1499] 1:20:57	maybe
[1500] 1:21:04	50 Shades of Hercules.
[1501] 1:21:06	Oo.
[1502] 1:21:09	Um that 50 Shades of Gray. Most people
[1503] 1:21:12	don't realize that that was originally
[1504] 1:21:14	fanfiction.
[1505] 1:21:17	That was Twilight fanfiction.
[1506] 1:21:22	I'm getting a weird look from Mrs.
[1507] 1:21:23	Producer. Yes, Fifty Shades of Gray was
[1508] 1:21:26	originally Twilight fanfiction,
[1509] 1:21:31	but it couldn't be published as
[1510] 1:21:33	fanfiction, so she just took out the
[1511] 1:21:35	vampires.
[1512] 1:21:40	Yeah. Ew.
[1513] 1:21:44	Jack Ray, Twilight, the teen vampire
[1514] 1:21:46	thing. Yeah. Yeah, the teen vampire
[1515] 1:21:49	thing.
[1516] 1:21:53	Dandiment. I know. And it shows. Yeah,
[1517] 1:21:58	it does.
[1518] 1:22:02	Ryan Cohen camp. That sucks. Sucks like
[1519] 1:22:04	a vampire.
[1520] 1:22:06	>> Yeah.
[1521] 1:22:11	>> Yeah. 50 Shades of Gray has nothing to
[1522] 1:22:13	do with sparkling vampires, but yeah, it
[1523] 1:22:15	was originally Twilight fanfiction.
[1524] 1:22:21	Says a lot. Says a lot. Sparkles like a
[1525] 1:22:25	vampire.
[1526] 1:22:27	That is one thing I could never get past
[1527] 1:22:30	with the with the whole Twilight series
[1528] 1:22:32	is the whole sparkling thing.
[1529] 1:22:46	came out.
[1530] 1:22:50	Hastack says, "On behalf of Mormons, I
[1531] 1:22:52	apologize. That came from one of us." It
[1532] 1:22:54	should. Twilight was awful. It killed
[1533] 1:22:58	the vampire genre. It was so much
[1534] 1:23:01	vampire genre was so much fun until
[1535] 1:23:04	Twilight.
[1536] 1:23:05	[Laughter]
[1537] 1:23:12	Wait a minute. Hey, Stack. Hey, at least
[1538] 1:23:14	you can claim Sanderson, too. Well,
[1539] 1:23:17	don't claim Sanderson anymore.
[1540] 1:23:19	His last book was totally woke. Oh my
[1541] 1:23:22	gosh, it was awful.
[1542] 1:23:31	Hey, Stack. I'm more of a Lost Boys vamp
[1543] 1:23:33	fan. Oh,
[1544] 1:23:35	>> Lost Boys was awesome.
[1545] 1:23:39	>> At least the first movie. The second two
[1546] 1:23:42	were really campy. Really campy.
[1547] 1:23:47	Oh my gosh, they were so bad. They were
[1548] 1:23:49	so bad they were good.
[1549] 1:23:51	It was one of those situations. Um the
[1550] 1:23:54	the second two Lost Boys films were so
[1551] 1:23:57	bad they were good.
[1552] 1:24:00	It was so terrible. So terrible.
[1553] 1:24:05	Jack Ray says, "There were more than
[1554] 1:24:06	one." Yeah, there were three Lost Boys
[1555] 1:24:09	films. Three of them. The first one's
[1556] 1:24:13	the only one that's good. It's good in
[1557] 1:24:15	its own right. The law first Lost Boys
[1558] 1:24:16	was an excellent vampire film. The
[1559] 1:24:19	second two were so so campy and cheesy
[1560] 1:24:23	was just they were terrible.
[1561] 1:24:27	Just terrible.
[1562] 1:24:33	Uh, Destiny, thoughts on Van Helsing. I
[1563] 1:24:35	haven't watched Van Helsing, so I don't
[1564] 1:24:36	know.
[1565] 1:24:38	Yeah, which Van Helsing? There's
[1566] 1:24:39	actually a lot of them.
[1567] 1:24:42	Um,
[1568] 1:24:43	but I haven't seen any of the Van
[1569] 1:24:44	Helings. I have seen a lot of vampire
[1570] 1:24:47	films. I had to for for my own studies
[1571] 1:24:50	in vampire uh lore, but um
[1572] 1:24:56	but yeah, I've got a large collection of
[1573] 1:24:58	vampire films.
[1574] 1:25:03	John Febeck says,
[1575] 1:25:06	"I always like the underworld movies.
[1576] 1:25:08	Cheesy but a lot of fun." They were
[1577] 1:25:10	actually They were
[1578] 1:25:13	um
[1579] 1:25:15	Dossman Noseratu.
[1580] 1:25:18	The original Noseratu uh was it the 1909
[1581] 1:25:22	I think one
[1582] 1:25:24	um was excellent.
[1583] 1:25:27	The original Noseratu was a classic.
[1584] 1:25:31	I don't know about the remake though.
[1585] 1:25:36	1922 was that it? Yeah. Uh the one where
[1586] 1:25:41	the one that where he not the producers
[1587] 1:25:44	got sued
[1588] 1:25:46	by the Stoker estate.
[1589] 1:25:52	Um
[1590] 1:25:54	which is kind of awful.
[1591] 1:25:57	I mean, the whole fact that
[1592] 1:26:04	that whole thing with uh Bram Stoker's
[1593] 1:26:07	wife was just awful.
[1594] 1:26:11	In case you don't know,
[1595] 1:26:13	um Bren Stoker died a couple years, only
[1596] 1:26:16	a couple years after publishing Dracula.
[1597] 1:26:20	Um
[1598] 1:26:22	uh yeah, Florence Stoker. Yeah. Oh boy.
[1599] 1:26:24	Yeah, she um she belittled him. She
[1600] 1:26:28	belittled him. She said his project was
[1601] 1:26:31	terrible. She she this is this is the
[1602] 1:26:34	absolute
[1603] 1:26:36	um she was a fish wife
[1604] 1:26:40	constantly nagging him. Um and frankly
[1605] 1:26:46	the he wrote about her she's the
[1606] 1:26:49	vampire.
[1607] 1:26:51	Very few people understand that that
[1608] 1:26:55	Florence was the vampire. She was
[1609] 1:26:58	Dracula.
[1610] 1:27:04	>> They did not have a good marriage. But
[1611] 1:27:07	as soon as he died and his his work took
[1612] 1:27:09	off, oh, she was right there to collect
[1613] 1:27:13	all the money.
[1614] 1:27:16	>> Yeah. Yeah. Suddenly she's the grieving
[1615] 1:27:18	widow.
[1616] 1:27:26	She's the grieving widow who who who
[1617] 1:27:29	Bram
[1618] 1:27:31	generously took care of her in her in
[1619] 1:27:33	her widowhood.
[1620] 1:27:36	Yeah, right.
[1621] 1:27:39	Says uh original Naserasu uh original
[1622] 1:27:43	Noseratu's pacing will feel off to
[1623] 1:27:46	modern sensibilities, but it's riveting.
[1624] 1:27:47	Yeah, it's absolutely riveting. It's a
[1625] 1:27:49	great film, but the pacing is very off
[1626] 1:27:55	for modern sensibilities. There's long
[1627] 1:27:57	periods of silence,
[1628] 1:28:00	uh,
[1629] 1:28:02	long motions of Count Orlock staring at
[1630] 1:28:05	his victim. You know, there's there's it
[1631] 1:28:09	it's it's not what we would call
[1632] 1:28:15	>> Yeah. You wonder why the victim doesn't
[1633] 1:28:16	just walk away. Yeah.
[1634] 1:28:21	[Laughter]
[1635] 1:28:25	be like, "You're creepy."
[1636] 1:28:30	>> Yeah.
[1637] 1:28:33	[Laughter]
[1638] 1:28:38	>> Yeah. I mean, it's it's a great film,
[1639] 1:28:40	though. I would highly recommend. It's
[1640] 1:28:42	one of those classics that I highly
[1641] 1:28:44	recommend, especially people who are
[1642] 1:28:46	into the vampire genre to to watch that
[1643] 1:28:49	one. Um, there are some vampire films I
[1644] 1:28:52	very highly recommend and that's one of
[1645] 1:28:54	them.
[1646] 1:28:58	Dosman goes, I enjoyed the movie about
[1647] 1:29:01	making lost Veratu where the vampire is
[1648] 1:29:03	really a vampire. Fun twist. Yeah.
[1649] 1:29:08	Okay. So we have talked about vampires.
[1650] 1:29:12	Now
[1651] 1:29:24	next one here is
[1652] 1:29:27	see find the next one
[1653] 1:29:36	camp asks this interesting question.
[1654] 1:29:39	He goes, "Does the soul start at
[1655] 1:29:41	conception or later in development?"
[1656] 1:29:45	That is a very very interesting
[1657] 1:29:51	question.
[1658] 1:29:53	Um
[1659] 1:29:57	the question of whether the soul starts
[1660] 1:29:59	at conception or later in development is
[1661] 1:30:02	going to depend upon your view of of the
[1662] 1:30:05	ontology of the soul and
[1663] 1:30:08	everyone is going there's like seven or
[1664] 1:30:11	eight different views on this.
[1665] 1:30:15	We we're not sure essentially we're not
[1666] 1:30:17	sure
[1667] 1:30:19	now. Uh
[1668] 1:30:24	>> well this is there's some I mean you've
[1669] 1:30:26	got the creationist view which is not
[1670] 1:30:29	the same as young earth creationism.
[1671] 1:30:31	Okay but there's a creationist view of
[1672] 1:30:34	the ontology of the soul. There's a
[1673] 1:30:36	traditionist view of of the soul. Uh
[1674] 1:30:40	there's emergent views.
[1675] 1:30:44	[Laughter]
[1676] 1:30:46	But to say, "Oo, $10,000 word time
[1677] 1:30:49	transducianism."
[1678] 1:30:53	He spelled it correctly, too.
[1679] 1:30:57	To he would
[1680] 1:30:59	[Laughter]
[1681] 1:31:01	have here an educated man.
[1682] 1:31:06	Now I really don't like him.
[1683] 1:31:15	So, a lot of it's going to depend upon
[1684] 1:31:17	what your view of the of the ontology of
[1685] 1:31:18	the soul is.
[1686] 1:31:20	Um,
[1687] 1:31:22	I take an emergence view myself.
[1688] 1:31:26	Um,
[1689] 1:31:29	so for me, I just I think that makes the
[1690] 1:31:32	most sense. I think that makes the most
[1691] 1:31:34	sense of say the whole idea of different
[1692] 1:31:38	categories of souls even in say the Old
[1693] 1:31:42	Testament where you have a certain say
[1694] 1:31:45	mature souls versus those that aren't.
[1695] 1:31:47	So,
[1696] 1:31:49	so yeah, I think I think um there's
[1697] 1:31:51	there's more than enough reason to have
[1698] 1:31:56	variety of views and this is not
[1699] 1:31:57	something to to squabble over or divide
[1700] 1:32:00	over. Um but it's going to depend on
[1701] 1:32:02	your view and I myself take an emergence
