[0] 3:03	Heat.
[1152] 1:03:33	The internet created flatearthers.
[1153] 1:03:36	>> It really did.
[1154] 1:03:42	I mean, the internet was responsible for
[1155] 1:03:44	some good things, but it was responsible
[1156] 1:03:46	for some really home dinger stuff, too.
[1157] 1:03:50	And one of those things is is the
[1158] 1:03:51	creation of flatearthers or the
[1159] 1:03:53	resurrection of flatearthers. There are
[1160] 1:03:55	more flat-earthers running around today
[1161] 1:03:57	than there has been since 1492.
[1162] 1:04:00	>> Well,
[1163] 1:04:02	you know what happened back then? They
[1164] 1:04:04	didn't think the earth was flat. No,
[1165] 1:04:06	they didn't think it was flat in 1492.
[1166] 1:04:09	>> Understood that the horizon.
[1167] 1:04:13	>> People have known that the earth was
[1168] 1:04:15	round since the 3rd century BC.
[1169] 1:04:20	I think it was Aristophanes that that
[1170] 1:04:22	that came up with the calculation. And
[1171] 1:04:25	he was not far off. He was only 10% off.
[1172] 1:04:28	He had figured out not only that the
[1173] 1:04:30	earth was a globe, but how big it was.
[1174] 1:04:33	So,
[1175] 1:04:38	but yeah, they they Bon Papa says, "For
[1176] 1:04:41	a while, I just assumed that flat
[1177] 1:04:42	earthers were just trolls." Yeah,
[1178] 1:04:44	they're not trolls. They really do
[1179] 1:04:45	believe this stuff. And some of them
[1180] 1:04:48	even believe that it's a it's a it's a
[1181] 1:04:51	salvation issue, which is really
[1182] 1:04:54	bizarre.
[1183] 1:05:00	All right, let's move on. Next one here.
[1184] 1:05:03	Um I'll take actually a few more super
[1185] 1:05:06	chats here from um at ministries.
[1186] 1:05:12	Next one here is when did the clerical c
[1187] 1:05:15	when did clerical celibacy arrive in
[1188] 1:05:18	Rome and the rest of the western church?
[1189] 1:05:21	Um it arrived in Rome in the late 2n
[1190] 1:05:25	century AD. Uh that's when it arrived in
[1191] 1:05:28	Rome. it it hit basically Rome earlier
[1192] 1:05:31	than any any anywhere else. So the mid
[1193] 1:05:34	to late 2nd century AD is when Rome
[1194] 1:05:37	started practicing se um um celibacy
[1195] 1:05:41	amongst the priesthood
[1196] 1:05:43	and it was mostly confined to Rome until
[1197] 1:05:48	um say the ecumenical councils of the of
[1198] 1:05:52	the 4th century and then it spread
[1199] 1:05:54	everywhere after that.
[1200] 1:05:57	But um but it was basically
[1201] 1:06:02	um it arrived.
[1202] 1:06:03	Uh mama asks what was the reason given
[1203] 1:06:06	for it? Um
[1204] 1:06:10	it was it was the basic reason given for
[1205] 1:06:13	it was that um and I'll I'll find it
[1206] 1:06:17	here. The one wife clause I think it's
[1207] 1:06:20	in Timothy.
[1208] 1:06:25	Let's see here. It's either Timothy or
[1209] 1:06:27	Titus. Let me find here.
[1210] 1:06:31	Yeah, here it is. It's an interpretation
[1211] 1:06:33	of this particular passage.
[1212] 1:06:37	Okay.
[1213] 1:06:39	Um, an overseer, elder Episcopos, and
[1214] 1:06:42	this is 1 Timothy 3 chapter uh verse 2.
[1215] 1:06:46	An overseer then must be above reproach,
[1216] 1:06:49	the husband of one wife, temperate,
[1217] 1:06:52	prudent, respectable, hospitalitable,
[1218] 1:06:55	hospitable, able to preach. Okay. Now,
[1219] 1:06:58	the interpretation that led up to this
[1220] 1:07:00	is the idea of the one wife. The one
[1221] 1:07:04	wife being the church.
[1222] 1:07:10	So it is a misinterpretation of this
[1223] 1:07:15	passage being that the one wife is the
[1224] 1:07:18	church. So a priest or an elder is only
[1225] 1:07:22	supposed to be married to the church.
[1226] 1:07:27	Which is why you do see Catholic priests
[1227] 1:07:31	wear a wedding ring.
[1228] 1:07:33	A lot of them wear wedding rings.
[1229] 1:07:36	They're not married to women. They're
[1230] 1:07:38	married to the bride of Christ.
[1231] 1:07:44	Yes, I know. Mama says, "Except the
[1232] 1:07:46	church is the bride of Christ." Yes, I
[1233] 1:07:48	understand that. Uh apparently uh the
[1234] 1:07:52	bride of Christ is a uh has a
[1235] 1:07:54	polyamorous relationship,
[1236] 1:08:00	which actually does not surprise me that
[1237] 1:08:02	much.
[1238] 1:08:06	And again,
[1239] 1:08:09	if you hear this taken out of context,
[1240] 1:08:12	>> remember the context.
[1241] 1:08:13	>> Yeah, if you take this if you clip this
[1242] 1:08:15	out of context, please remember the
[1243] 1:08:16	context here. Okay.
[1244] 1:08:21	But yeah, so this is this is a
[1245] 1:08:22	misinterpretation of 1 Timothy 3:2 that
[1246] 1:08:26	the idea of the one wife being the bride
[1247] 1:08:29	of Christ and therefore that priests
[1248] 1:08:33	need to be married to not a actual woman
[1249] 1:08:37	but um the bride of the Christ which is
[1250] 1:08:40	the church and therefore they have to be
[1251] 1:08:42	celibate. And you have to remember for
[1252] 1:08:46	Paul to have been
[1253] 1:08:48	his position in the church had to
[1254] 1:08:52	>> Yeah. Well, as as a member of the
[1255] 1:08:53	Sanhedrin, yes. Uh Paul would have had
[1256] 1:08:56	to have been married to a woman.
[1257] 1:08:59	So yeah. Um and frankly, all the
[1258] 1:09:01	disciples were married to women, too.
[1259] 1:09:03	All of them.
[1260] 1:09:08	>> So pastors need to be.
[1261] 1:09:12	>> Okay. Uh Ryan's question here followup
[1262] 1:09:14	here is do you think pastors elders need
[1263] 1:09:16	to be married?
[1264] 1:09:18	No, but it's a really really good idea.
[1265] 1:09:22	Okay. I don't think it's a mandatory
[1266] 1:09:24	thing,
[1267] 1:09:26	but I also think it's a really good idea
[1268] 1:09:29	for them to be married. And the reason
[1269] 1:09:32	why is all the rest of this here in the
[1270] 1:09:35	passage.
[1271] 1:09:37	Uh the an overseer then must be above
[1272] 1:09:39	reproach. The husband of one wife. Now
[1273] 1:09:41	that's not mandatory
[1274] 1:09:44	but temperate, prudent, respectable,
[1275] 1:09:46	hospitable, able to teach. Well, with
[1276] 1:09:50	being married comes temperance,
[1277] 1:09:52	prudence, respectability, and
[1278] 1:09:55	hospitality.
[1279] 1:09:58	It's really hard for a single man to be
[1280] 1:10:00	very hospitable.
[1281] 1:10:02	He doesn't have the facilities to do it.
[1282] 1:10:03	He doesn't have the household to do it.
[1283] 1:10:08	So,
[1284] 1:10:10	um, so I don't think pastors and elders
[1285] 1:10:14	need to be married, but I think it's a
[1286] 1:10:16	good idea that they are.
[1287] 1:10:24	So,
[1288] 1:10:26	um, it it helps marry married married
[1289] 1:10:29	men
[1290] 1:10:31	have the advantage of
[1291] 1:10:34	learning all these traits that come with
[1292] 1:10:37	being a good overseer
[1293] 1:10:39	as part of
[1294] 1:10:41	living with somebody for a long period
[1295] 1:10:44	of time.
[1296] 1:10:55	So
[1297] 1:11:00	Maramera says Jesus wasn't married. He
[1298] 1:11:02	is the high priest. I think celibacy
[1299] 1:11:04	evolved in the priesthood. Uh
[1300] 1:11:08	no um
[1301] 1:11:11	um you know um Israelite priests were
[1302] 1:11:13	married.
[1303] 1:11:15	Um
[1304] 1:11:17	the the apostles were married.
[1305] 1:11:21	Uh you know the fact is that you know a
[1306] 1:11:26	in in Israelite culture
[1307] 1:11:29	um that
[1308] 1:11:32	um it's one of those things where
[1309] 1:11:36	it um
[1310] 1:11:39	parents didn't let their their children
[1311] 1:11:41	go unmarried. You know, it was it was
[1312] 1:11:43	the duty of a good parent in in
[1313] 1:11:45	Israelite culture to ensure that your
[1314] 1:11:48	kids got married. Bad parents left their
[1315] 1:11:51	kids unmarried.
[1316] 1:11:54	It seems kind of strange to us today,
[1317] 1:11:56	but that was that was um
[1318] 1:12:00	that was one of those things that if you
[1319] 1:12:03	if you were a parent in first century
[1320] 1:12:06	Judea
[1321] 1:12:08	and you didn't arrange a good match for
[1322] 1:12:11	your child, good marriage for your
[1323] 1:12:13	child, you were a bad parent.
[1324] 1:12:18	Now, I'm not saying this is true of of
[1325] 1:12:21	today, but back then you were considered
[1326] 1:12:24	a bad bad parent if you didn't arrange a
[1327] 1:12:28	good coupling for your children.
[1328] 1:12:31	Okay?
[1329] 1:12:34	So,
[1330] 1:12:41	so while Christ himself chose to be
[1331] 1:12:43	celibate and was not married, it would
[1332] 1:12:47	have um
[1333] 1:12:50	um those around him were. So
[1334] 1:13:01	Annie Manil says, "How do we know if
[1335] 1:13:03	Jesus was or was not married?"
[1336] 1:13:06	Um it was the relationship to his
[1337] 1:13:09	brothers and sisters and basically as
[1338] 1:13:12	um that um
[1339] 1:13:16	you would have have it would have been
[1340] 1:13:18	mentioned many many many times if the
[1341] 1:13:22	wife of Christ was there. It would have
[1342] 1:13:25	gone without I mean you know when when
[1343] 1:13:28	they come to car take him away it's his
[1344] 1:13:30	brothers and sisters and mother that
[1345] 1:13:32	come to do it not a spouse.
[1346] 1:13:36	So,
[1347] 1:13:41	so it's one of those things where if if
[1348] 1:13:42	he had been married, it would have been
[1349] 1:13:44	really really obvious in the text in
[1350] 1:13:46	some way.
[1351] 1:13:49	All right, let's move on. The next one
[1352] 1:13:51	here,
[1353] 1:13:53	which is
[1354] 1:13:57	uh next one here is from AT ministries.
[1355] 1:14:01	when Moses writes uh Pharaoh's harden
[1356] 1:14:05	writes Pharaoh hardens his heart which
[1357] 1:14:07	times means strengthened and made when
[1358] 1:14:10	made firm and when he's heavied in the
[1359] 1:14:12	heart. Well, we'd have to go through the
[1360] 1:14:14	passage sort of stage by stage here, but
[1361] 1:14:17	let's see if we can just give you a
[1362] 1:14:19	little bit of guidelines here. Okay.
[1363] 1:14:24	Okay. And Exodus,
[1364] 1:14:27	uh first shows up in Exodus 7:13.
[1365] 1:14:30	Uh Harrow's uh yet Pharaoh's heart was
[1366] 1:14:33	hardened. Um this is uh kizak. This
[1367] 1:14:37	means to strengthen, make strong, make
[1368] 1:14:40	firm.
[1369] 1:14:42	7:22.
[1370] 1:14:45	Okay. Is uh strengthen again. Exodus
[1371] 1:14:49	8:15.
[1372] 1:14:52	Okay. Now in this particular case, but
[1373] 1:14:54	Pharaoh saw his there was relief. He
[1374] 1:14:56	hardened his heart. Made it heavy. This
[1375] 1:14:58	is where it makes it heavy. So see, so
[1376] 1:15:02	815 is where it's heavy.
[1377] 1:15:07	Um 8:19 is hardened uh strengthened
[1378] 1:15:11	again.
[1379] 1:15:13	8:32
[1380] 1:15:16	is made heavy.
[1381] 1:15:19	Exodus 9:7
[1382] 1:15:22	is again make heavy.
[1383] 1:15:25	12
[1384] 1:15:27	is make strong.
[1385] 1:15:34	See if we can find another counter of
[1386] 1:15:36	example of the
[1387] 1:15:39	Zach
[1388] 1:15:41	Cavode.
[1389] 1:15:47	Dennis Cavode
[1390] 1:15:50	that make heavy Kizak
[1391] 1:15:55	Kak.
[1392] 1:16:01	Okay. Um,
[1393] 1:16:04	there was one other word used. I can't
[1394] 1:16:07	seem to find it at the moment.
[1395] 1:16:12	Okay. Uh, we do see two
[1396] 1:16:16	uh Deuteronomy
[1397] 1:16:19	uh 230 hardened
[1398] 1:16:22	uh kash that means to make fierce or
[1399] 1:16:26	strained. Um, so there are some of the
[1400] 1:16:29	examples here. I haven't found the third
[1401] 1:16:30	one in relation to pharaoh here in just
[1402] 1:16:32	a going through it quickly. I'd have to
[1403] 1:16:35	look up that take one more time to to to
[1404] 1:16:37	find that. But but yeah, there's there's
[1405] 1:16:39	there's three terms for that. So I hope
[1406] 1:16:42	that helps. Thank you for the super
[1407] 1:16:43	chat. Very much appreciated.
[1408] 1:16:49	And then the next one we'll take from AD
[1409] 1:16:51	ministries is were the Judaizers even
[1410] 1:16:53	Jews? Yes, they were. Uh Judaizers were
[1411] 1:16:57	Jews. At least the early ones were uh
[1412] 1:17:01	they were essentially the Judaizers were
[1413] 1:17:04	uh converts of Christianity that wanted
[1414] 1:17:06	to hold to the ritual law. That's what
[1415] 1:17:09	they were.
[1416] 1:17:11	So, and a lot of this comes from the
[1417] 1:17:13	fact that a lot of the early church were
[1418] 1:17:17	Jewish. A lot of in fact the vast
[1419] 1:17:19	majority of the early church was Jewish.
[1420] 1:17:23	So, at least the first century church.
[1421] 1:17:26	So
[1422] 1:17:28	this comes becomes a problem in the
[1423] 1:17:31	church where
[1424] 1:17:34	you get what's called the circumcision
[1425] 1:17:37	camp
[1426] 1:17:39	uh where they want to
[1427] 1:17:43	um
[1428] 1:17:45	to insist that Gentiles coming into the
[1429] 1:17:48	Christian faith be circumcised in
[1430] 1:17:50	accordance with the ritual law.
[1431] 1:17:54	So
[1432] 1:17:55	um so only a Jew in the that day and age
[1433] 1:17:59	would insist upon this.
[1434] 1:18:02	So so yes the early in the early church
[1435] 1:18:06	almost all the Judaizers were Jewish and
[1436] 1:18:09	they were again they're making this push
[1437] 1:18:11	to to keep the ritual law in all its in
[1438] 1:18:15	all its forms. So hope that helps. Thank
[1439] 1:18:19	you for super chat. Very much appreciate
[1440] 1:18:21	it.
[1441] 1:18:27	Okay,
[1442] 1:18:29	next one
[1443] 1:18:32	is from common lurker here who asked the
[1444] 1:18:35	non-s super chat question.
[1445] 1:18:38	What city was the longest lasting
[1446] 1:18:40	capital of ancient Egypt? Okay, there
[1447] 1:18:43	are two capitals in ancient Egypt. the
[1448] 1:18:46	imperial capital and the administrative
[1449] 1:18:49	capital
[1450] 1:18:51	and they're different and they serve
[1451] 1:18:54	different purposes.
[1452] 1:18:56	The imperial capital is where Pharaoh
[1453] 1:18:59	lives and where he he reigns from.
[1454] 1:19:03	The administrative capital is the um
[1455] 1:19:08	basically the capital of the central
[1456] 1:19:09	bureaucracy.
[1457] 1:19:13	Think Futurama here where there's a
[1458] 1:19:16	central bureaucracy.
[1459] 1:19:19	Egypt had a central bureaucracy.
[1460] 1:19:25	Okay.
[1461] 1:19:27	Now,
[1462] 1:19:29	um the longest lasting capital
[1463] 1:19:32	>> what?
[1464] 1:19:33	>> The capital of Egypt was E.
[1465] 1:19:36	>> Ryan. The capital of Egypt was E.
[1466] 1:19:43	Uh
[1467] 1:19:47	uh or K be k.
[1468] 1:19:51	Okay.
[1469] 1:19:53	Um
[1470] 1:19:57	libertarians and truskists would not
[1471] 1:20:00	have liked ancient Egypt.
[1472] 1:20:02	Very they're very bureaucratic. Uh Egypt
[1473] 1:20:06	was an incredibly bureaucratic state.
[1474] 1:20:10	Okay. The longest lasting capital was
[1475] 1:20:12	its administrative capital, Memphis. And
[1476] 1:20:15	Memphis is the administrative capital of
[1477] 1:20:18	Egypt from the third dynasty all the way
[1478] 1:20:22	to the Roman period. Um,
[1479] 1:20:25	so that's that's the longest capital.
[1480] 1:20:28	Now,
[1481] 1:20:30	which imperial capital
[1482] 1:20:34	was the longest also is is is a sort of
[1483] 1:20:37	a different question.
[1484] 1:20:39	Um but it appears to be that the the
[1485] 1:20:42	longest serving capital was also
[1486] 1:20:46	imperial capital was also Memphis and it
[1487] 1:20:49	was the capital again from the third
[1488] 1:20:52	dynasty up until the 9th
[1489] 1:20:57	and it stretches I think over I think
[1490] 1:20:59	over 500 years. So it's a really really
[1491] 1:21:03	long stretch.
[1492] 1:21:07	So I think that's the longest serving
[1493] 1:21:09	cap um imperial capital also.
[1494] 1:21:12	But after um the Memphites relocate from
[1495] 1:21:17	uh Memphis to Heracle, then you get a
[1496] 1:21:20	lot of shorterlived capitals after that.
[1497] 1:21:23	But Memphis seems to be the longest
[1498] 1:21:26	lasting capital in ancient Egypt.
[1499] 1:21:30	Okay, so hope that helps. Thank you for
[1500] 1:21:32	the question.
[1501] 1:21:34	The next one here is from Striding
[1502] 1:21:36	Herbit for $5. Thank you for the super
[1503] 1:21:39	chat.
[1504] 1:21:40	Is pain as complex in meaning as love
[1505] 1:21:44	and death?
[1506] 1:21:46	Yes.
[1507] 1:21:48	Now, it's not the same as love and
[1508] 1:21:50	death. Um, the thing about pain
[1509] 1:21:55	is
[1510] 1:21:58	there are very various kinds of pain.
[1511] 1:22:01	There are emotional pains. There's
[1512] 1:22:03	physical pain. Um there's pain as in
[1513] 1:22:07	regret. There's a lot of different kinds
[1514] 1:22:10	of of pain just like there's various
[1515] 1:22:13	kinds of love and death.
[1516] 1:22:16	So it is as complex as as death and
[1517] 1:22:19	love. But it's also um there's also a
[1518] 1:22:24	transitory aspect to pain that you don't
[1519] 1:22:28	find in say death. Death tends to not be
[1520] 1:22:30	transitory.
[1521] 1:22:32	Like for example, like
[1522] 1:22:35	like I let's say I take a hammer, smash
[1523] 1:22:37	my thumb. Okay, it hurts. It's painful.
[1524] 1:22:43	In
[1525] 1:22:44	48 hours, I won't remember the pain.
[1526] 1:22:49	Won't remember the experience of the
[1527] 1:22:50	pain. I'll remember that it was painful,
[1528] 1:22:53	but I will not remember the actual
[1529] 1:22:55	feeling of pain.
[1530] 1:22:57	Pain is something that is that goes from
[1531] 1:23:01	the nerve to the brain but is not
[1532] 1:23:04	actually manifest in the brain itself.
[1533] 1:23:08	So you won't actually remember the
[1534] 1:23:10	experience of pain but you will remember
[1535] 1:23:15	it was painful.
[1536] 1:23:18	So that adds a level of complexity
[1537] 1:23:22	uh to its meaning.
[1538] 1:23:25	So, and one could wax really eloquently
[1539] 1:23:28	on the whole meaning of complexity with
[1540] 1:23:32	pain, love, and death, but that's sort
[1541] 1:23:34	of kind of beyond what this channel
[1542] 1:23:36	does. So, I hope that helps. Thank you
[1543] 1:23:39	for the super chat. Really appreciated.
[1544] 1:23:47	All right, next one here.
[1545] 1:23:52	Um,
[1546] 1:23:55	was that question retracted
[1547] 1:23:58	out of turn one?
[1548] 1:24:00	>> Yeah,
[1549] 1:24:02	you had already answered it, but if you
[1550] 1:24:06	want to
[1551] 1:24:06	>> Yeah, I'll take it again.
[1552] 1:24:08	>> Uh, Tia Chong asks, uh, doctor, may I
[1553] 1:24:12	ask your opinion on the shrouded turn,
[1554] 1:24:13	genuine or man-made? Man-made.
[1555] 1:24:17	Okay.
[1556] 1:24:18	It's what we would call what I call a
[1557] 1:24:20	misidentified artifact.
[1558] 1:24:24	It is a genuine artifact that was
[1559] 1:24:26	man-made.
[1560] 1:24:29	Okay. So, here's
[1561] 1:24:32	>> that is not a contradiction. A
[1562] 1:24:34	misunderstand misunderstood artifacts
[1563] 1:24:37	happen all the time. Okay.
[1564] 1:24:41	So, let's talk about what we mean by
[1565] 1:24:43	misunderstood artifacts. They are
[1566] 1:24:46	artifacts that come to have a meaning
[1567] 1:24:48	ascribed to them that is not the same as
[1568] 1:24:52	they were in the context with with which
[1569] 1:24:54	they were made.
[1570] 1:24:56	What do I think the shroud of turn was?
[1571] 1:24:58	I think it's an Eastern Orthodox shroud
[1572] 1:25:01	that was used for certain ceremonies,
[1573] 1:25:05	particularly Easter.
[1574] 1:25:07	So, not a forgery.
[1575] 1:25:09	>> Not a forgery. That's the key point.
[1576] 1:25:11	Yeah. Not a forgery. Um, Ryan says, "So,
[1577] 1:25:14	a really good forgery?" No, not a
[1578] 1:25:16	forgery at all.
[1579] 1:25:19	It is a genuine Eastern Orthodox
[1580] 1:25:23	um um artifact
[1581] 1:25:28	that dates to long after the death of
[1582] 1:25:31	Christ.
[1583] 1:25:33	Long after.
[1584] 1:25:35	So basically how the the the the shroud
[1585] 1:25:40	comes into the possession of the west is
[1586] 1:25:44	during a a crusade. Okay. So the
[1587] 1:25:48	crusaders go, you know, they go into
[1588] 1:25:51	Asia Minor and they start ransacking
[1589] 1:25:55	Bantium,
[1590] 1:25:57	okay, a Constantinople.
[1591] 1:26:00	And they pillage artifacts from Eastern
[1592] 1:26:02	Orthodox churches. They go into the
[1593] 1:26:04	Eastern Orthodox churches and they steal
[1594] 1:26:06	these artifacts.
[1595] 1:26:09	So they find the shroud and they say,
[1596] 1:26:13	"Oh, this must be the shroud of Christ."
[1597] 1:26:17	And they take it home.
[1598] 1:26:21	So
[1599] 1:26:22	um it's not that that these shroud that
[1600] 1:26:25	that the shroud was the original.
[1601] 1:26:28	>> Mama nailed it.
[1602] 1:26:29	>> Mama are mistaken for original. Yeah,
[1603] 1:26:33	pretty much.
[1604] 1:26:34	>> Mama.
[1605] 1:26:35	>> Mama nails it. Fan art mistaken for
[1606] 1:26:37	original. Yeah, it's exactly what it is.
[1607] 1:26:40	>> Yeah, it's fan art mistaken for
[1608] 1:26:42	original.
[1609] 1:26:51	Uh,
[1610] 1:26:53	Ryan Cohen says, "So, do we know how it
[1611] 1:26:56	was made?"
[1612] 1:26:58	>> I do.
[1613] 1:27:00	book coming later
[1614] 1:27:04	in progress.
[1615] 1:27:06	>> Uh books and videos are in progress.
[1616] 1:27:12	Yes, it's not that hard to figure out
[1617] 1:27:15	once you understand the the properties
[1618] 1:27:17	of the of of the artifact evolved.
[1619] 1:27:25	So yes, I think I have I understand how
[1620] 1:27:27	it was made. It's not that hard.
[1621] 1:27:31	Okay. So,
[1622] 1:27:36	um,
[1623] 1:27:39	Mama says, "Very cool." Well, we hope it
[1624] 1:27:42	is.
[1625] 1:27:43	>> Okay. Get it.
[1626] 1:27:48	>> All right. Next one here. So, yeah. Um,
[1627] 1:27:52	so yeah, that I think it's a man-made
[1628] 1:27:54	artifact. I think it was intentionally
[1629] 1:27:56	made. I think it was made for ceremonial
[1630] 1:27:59	ritual purposes within an Eastern
[1631] 1:28:01	Orthodox tradition.
[1632] 1:28:02	>> So, it was not
[1633] 1:28:05	>> it was not created to be a forgery. It
[1634] 1:28:07	is definitely not a forgery. It's a
[1635] 1:28:10	misidentified artifact. And these things
[1636] 1:28:13	do happen in in in archaeology. There
[1637] 1:28:15	was this one
[1638] 1:28:18	um
[1639] 1:28:20	Anglo-Saxon crown
[1640] 1:28:24	that was on display in the museums and
[1641] 1:28:26	it's made of slices of wood and bronze
[1642] 1:28:29	and
[1643] 1:28:31	they had it pictured on the head of a of
[1644] 1:28:33	an Anglo-Saxon king and turned out to be
[1645] 1:28:36	a bucket.
[1646] 1:28:40	>> Oh goodness.
[1647] 1:28:41	>> No, no joke. the those the the things
[1648] 1:28:44	the spires that went up was the handle.
[1649] 1:28:47	It was a bucket that had lost the bottom
[1650] 1:29:01	>> to Chung. Um, thank you doctor, but I
[1651] 1:29:03	don't understand why STR team can't come
[1652] 1:29:05	up with an answer because they don't
[1653] 1:29:07	want the answer. Sturp team is
[1654] 1:29:10	incredibly biased.
[1655] 1:29:13	incred they are so
[1656] 1:29:15	>> too much invested.
[1657] 1:29:16	>> They have too much invested in this as
[1658] 1:29:18	far as it being a miraculous thing that
[1659] 1:29:22	you know they can't even look at their
[1660] 1:29:25	own data objectively.
[1661] 1:29:28	I mean,
[1662] 1:29:30	you know, they they had Stir published
[1663] 1:29:32	an article um and it was um it was um
[1664] 1:29:39	spectroscopic um
[1665] 1:29:42	curves
[1666] 1:29:43	of blood samples. Okay.
[1667] 1:29:47	And Stur said there's there's no doubt
[1668] 1:29:49	that this is a blood sample. Well, one
[1669] 1:29:51	of the characteristic things about
[1670] 1:29:55	blood
[1671] 1:29:57	is on the um absorption curve
[1672] 1:30:02	uh or sorry the reflection curve. The
[1673] 1:30:05	reflection curve has a very very strong
[1674] 1:30:09	um
[1675] 1:30:11	um
[1676] 1:30:13	signal
[1677] 1:30:15	on a yellow green bandwidth. Yes, the
[1678] 1:30:19	dried blood actually has a color
[1679] 1:30:21	component that's yellow green.
[1680] 1:30:24	And
[1681] 1:30:26	this this point on the spectroscopic
[1682] 1:30:32	um reflection curve was completely
[1683] 1:30:34	missing from Stur's
[1684] 1:30:38	analysis.
[1685] 1:30:39	So there's no way it could have been
[1686] 1:30:41	blood.
[1687] 1:30:43	But the curve absolutely fit with red
[1688] 1:30:47	ochre.
[1689] 1:30:48	Absolutely fit with it.
[1690] 1:30:53	It was a perfect match. Perfect match
[1691] 1:30:56	for red ochre. Their secondary curve was
[1692] 1:31:00	a perfect match with carmine red.
[1693] 1:31:07	So
[1694] 1:31:10	um Kypus says blood turns yellow
[1695] 1:31:14	greenish deep underwater when the red
[1696] 1:31:16	light is all filtered out. Yeah, it has
[1697] 1:31:19	a yellow greenish component to it. And
[1698] 1:31:22	that that yellowish greenish um spectral
[1699] 1:31:25	um reflective um signal is is a part of
[1700] 1:31:31	identification of blood and stur
[1701] 1:31:34	couldn't find it and didn't even
[1702] 1:31:36	knowledge why it wasn't there.
[1703] 1:31:40	So Stur is just so
[1704] 1:31:43	so biased
[1705] 1:31:46	it can't even see it.
[1706] 1:31:49	So, you know, any any I give no stir no
[1707] 1:31:55	credibility at all. They've lost all
[1708] 1:31:57	credibility in my eyes.
[1709] 1:32:00	Uh they even drove out members uh the
[1710] 1:32:03	the they started off started off as
[1711] 1:32:06	being supposedly impartial,
[1712] 1:32:09	but it they very very quickly said
[1713] 1:32:13	basically, okay, if you're going to be
[1714] 1:32:15	against the miraculous nature of the
[1715] 1:32:17	shroud, you're out.
[1716] 1:32:20	So it basically became a echo chamber
[1717] 1:32:23	for uh for um the miraculous
[1718] 1:32:27	creation of the shroud of tournament. So
[1719] 1:32:31	yeah, I think I think they they they've
[1720] 1:32:34	lost all credibility in my mind. They're
[1721] 1:32:37	really
[1722] 1:32:39	they're a joke of an organization.
[1723] 1:32:47	But yeah, I think it's a
[1724] 1:32:48	misunderstanderstood artifact. That's
[1725] 1:32:50	that's but it is man-made, but not a
[1726] 1:32:53	forgery either. Okay. Uh, next question
[1727] 1:32:56	here
[1728] 1:32:59	is from Michael Watts for 1999. Thank
[1729] 1:33:01	you very much for the uh the super chat.
[1730] 1:33:03	Really appreciate it.
[1731] 1:33:08	Um, he goes, "Am I wrong for criticizing
[1732] 1:33:11	Eastern Orthodox when they claim the
[1733] 1:33:13	cherubam in the temple are a
[1734] 1:33:15	justification for icon veneration?"
[1735] 1:33:18	No, I don't think you are. Um,
[1736] 1:33:22	here's one of the things. I'm going to
[1737] 1:33:23	be very sort of um circumspect about
[1738] 1:33:26	this.
[1739] 1:33:28	Um,
[1740] 1:33:31	I don't think the cherubam in the temple
[1741] 1:33:33	is a good justification for icon
[1742] 1:33:35	veneration.
[1743] 1:33:37	um icon veneration
[1744] 1:33:41	cherubam were never venerated.
[1745] 1:33:45	Okay.
[1746] 1:33:46	And the point of cherubam was never to
[1747] 1:33:49	venerate.
[1748] 1:33:52	The point of cherubam was to create holy
[1749] 1:33:54	space, sacred space. That's the point of
[1750] 1:33:57	cherubam.
[1751] 1:33:59	So cherubam is not about veneration in
[1752] 1:34:02	any capacity.
[1753] 1:34:04	So I think that's
[1754] 1:34:07	a wrongheaded approach to justify icon
[1755] 1:34:11	veneration.
[1756] 1:34:13	At the same time too
[1757] 1:34:16	I don't think
[1758] 1:34:18	uh
[1759] 1:34:20	says be careful what you say.
[1760] 1:34:25	The Orthodox priest down the block won't
[1761] 1:34:27	give you any more holy water. Yeah. Then
[1762] 1:34:29	what will I do about my vampire problem?
[1763] 1:34:32	They're
[1764] 1:34:37	Hey, they're only a few blocks away, the
[1765] 1:34:39	vampires. So,
[1766] 1:34:42	I mean, how am I going to deal with my
[1767] 1:34:44	vampire problem then?
[1768] 1:34:50	Okay. Now, at the same time too, would I
[1769] 1:34:53	argue against Icon Federation? Probably
[1770] 1:34:56	not.
[1771] 1:34:57	Um
[1772] 1:35:00	the the big question is about icon
[1773] 1:35:02	veneration is really is it efficacious?
[1774] 1:35:07	Is it unbiblical? No. Is it a biblical?
[1775] 1:35:11	Yes.
[1776] 1:35:13	And there's a difference between being
[1777] 1:35:14	unbiblical and being a biblical. And the
[1778] 1:35:17	difference is that something that's
[1779] 1:35:19	unbiblical is against the scriptures.
[1780] 1:35:22	And we anything that's unbiblical we
[1781] 1:35:24	should be against. Anything that's a
[1782] 1:35:27	biblical is something that's basically
[1783] 1:35:29	not mentioned by the scriptures but
[1784] 1:35:34	isn't against them either.
[1785] 1:35:35	>> It never tells you to brush your teeth.
[1786] 1:35:37	>> Yeah. The Bible never tells you to brush
[1787] 1:35:38	your teeth. That's an a biblical
[1788] 1:35:40	practice.
[1789] 1:35:42	>> Really?
[1790] 1:35:44	>> You should really brush your teeth.
[1791] 1:35:48	Okay.
[1792] 1:35:49	Icon veneration is an a biblical
[1793] 1:35:51	practice. It's not an unbiblical
