[0] 1:24	Heat. Heat.
[1253] 1:08:20	this unit loves you all essentially. Um
[1254] 1:08:26	uh literally it's that's that's this
[1255] 1:08:28	unit loves all or everyone. Um but it's
[1256] 1:08:33	more translates into I love you all.
[1257] 1:08:35	Okay. So uh in cardini
[1258] 1:08:41	okay so there's your little sample of of
[1259] 1:08:43	nako 32 here for the night. Now are
[1260] 1:08:47	there stages of processing forgiveness?
[1261] 1:08:50	Oh there might be. I can't see any
[1262] 1:08:52	reason why there wouldn't be. Uh but I
[1263] 1:08:55	wouldn't know what they are. I'm I'm not
[1264] 1:08:58	a I'm not a I'm not a psychologist.
[1265] 1:09:02	Uh the seven stages of grief comes uh
[1266] 1:09:05	grief comes out of um psychology and
[1267] 1:09:08	it's really outside of my my wheelhouse.
[1268] 1:09:14	So
[1269] 1:09:16	mama goes, "Love it. [laughter]
[1270] 1:09:18	It's it's a it's a cool language. It's a
[1271] 1:09:21	cool It's a cool conlang.
[1272] 1:09:23	So, um,
[1273] 1:09:27	and those who have learned it so far
[1274] 1:09:28	really, uh, have enjoyed it. So,
[1275] 1:09:31	that's kind of what we wanted to do with
[1276] 1:09:33	the, uh, uh, with the con lang, make it
[1277] 1:09:36	a make it a language people could pick
[1278] 1:09:38	up and, um, be able to have a little fun
[1279] 1:09:42	with it.
[1280] 1:09:45	But, um, but yeah, psychology is really
[1281] 1:09:48	out of my wheelhouse. Uh, I know there's
[1282] 1:09:51	advances and theories that are going on
[1283] 1:09:52	all the time in that.
[1284] 1:09:55	I only did one course in psychology, two
[1285] 1:09:58	courses of psychology in my undergrad
[1286] 1:10:00	and I'm really not qualified to to to
[1287] 1:10:03	talk on that to any significant degree.
[1288] 1:10:07	So, I'm going to have to decline further
[1289] 1:10:09	talking about here. Okay. So, thank you
[1290] 1:10:12	very much and uh uh sorry I couldn't be
[1291] 1:10:14	more help there. But I don't know what
[1292] 1:10:16	the theory is on uh stages of processing
[1293] 1:10:18	grief if there are any.
[1294] 1:10:23	>> Yeah.
[1295] 1:10:26	>> Well, first you've got to give yourself
[1296] 1:10:28	time.
[1297] 1:10:30	>> Yeah. But again, I I don't it's not not
[1298] 1:10:33	not what I do. So,
[1299] 1:10:40	uh Gustavos uh Hernandez, thank you for
[1300] 1:10:43	the question. What are your thoughts
[1301] 1:10:45	about the Midianite Kennite hypothesis?
[1302] 1:10:47	Uh, I think it's actually probably the
[1303] 1:10:49	best explanation for the origin of uh
[1304] 1:10:54	where Moses got uh Yahweh from. So, I
[1305] 1:10:58	think that hypothesis that the
[1306] 1:11:01	Midianites, Kennites, [ __ ] worshiped
[1307] 1:11:04	Yahweh.
[1308] 1:11:06	Moses went out to Midian. He encounters
[1309] 1:11:09	Yahweh out there and then brings him
[1310] 1:11:11	back to Egypt. So I think it's the most
[1311] 1:11:15	plausible hypothesis for this at least
[1312] 1:11:17	what we have so far. So uh hope that
[1313] 1:11:20	helps. Thank you for the question.
[1314] 1:11:22	Really appreciate it.
[1315] 1:11:30	Uh Icy asks, "How do you assess the
[1316] 1:11:32	theological and dating implications of
[1317] 1:11:34	the consensus dating to of Daniel to the
[1318] 1:11:38	2 century BC, especially on prophecies
[1319] 1:11:41	in chapter 11, exemplifying Vaticanium
[1320] 1:11:44	Xeventu?" Um
[1321] 1:11:48	I have okay
[1322] 1:11:50	I have some problems with
[1323] 1:11:54	I okay let me frame this first. I don't
[1324] 1:11:58	really care if Daniel is 2 century BC or
[1325] 1:12:04	if it is sixth fifth sixth. Okay that
[1326] 1:12:09	doesn't really bother me a whole lot. Um
[1327] 1:12:11	I can hang with it either way. So,
[1328] 1:12:16	I'm not married to the dating of Daniel
[1329] 1:12:20	one way or the other. However, I do see
[1330] 1:12:23	a problem with the second century dating
[1331] 1:12:27	of Daniel. Okay?
[1332] 1:12:30	and
[1333] 1:12:33	that is that um first Enoch quotes
[1334] 1:12:38	Daniel
[1335] 1:12:40	and everyone agrees that first Enoch is
[1336] 1:12:42	4th century BC. Everyone agrees on that.
[1337] 1:12:47	So
[1338] 1:12:50	um I I don't have I I have some issues
[1339] 1:12:54	with that. a septuagent uh translation
[1340] 1:12:57	of da uh Daniel is probably also 3
[1341] 1:13:00	century.
[1342] 1:13:02	So you know se second century you're
[1343] 1:13:05	talking 150 BC that's that's what
[1344] 1:13:08	they're talking 150 170 um that's really
[1345] 1:13:13	sort of pushing the line there.
[1346] 1:13:16	Um, I mean, I don't see how that's
[1347] 1:13:20	really all that feasible.
[1348] 1:13:25	So, it wouldn't bother me if Daniel was
[1349] 1:13:27	second century. I just see that it's a
[1350] 1:13:30	problematic dating.
[1351] 1:13:33	So,
[1352] 1:13:35	um, but there's also a whole lot of I
[1353] 1:13:38	mean the whole um
[1354] 1:13:42	the whole whole idea of it being
[1355] 1:13:44	exeventu too is
[1356] 1:13:48	um is the idea that that Daniel is
[1357] 1:13:52	writing after the prophecy has already
[1358] 1:13:54	been fulfilled or that the the writers
[1359] 1:13:56	of Daniel are writing after the
[1360] 1:13:58	prophecies are only already fulfilled.
[1361] 1:14:02	If that's your sort of sort of it's it's
[1362] 1:14:04	it's a naturalistic assumption. It's a
[1363] 1:14:08	naturalistic assumption that there can't
[1364] 1:14:10	be prophecy.
[1365] 1:14:13	And the idea that there can't be
[1366] 1:14:16	prophecy because maybe there's no God,
[1367] 1:14:18	maybe knowing the future's impossible,
[1368] 1:14:20	whatever the justification of that
[1369] 1:14:23	becomes really a a self-fulfilling
[1370] 1:14:25	prophecy itself.
[1371] 1:14:28	You're basically claiming that the
[1372] 1:14:30	exeventu
[1373] 1:14:32	has to be therefore it has to date this.
[1374] 1:14:38	I've got say some issues with that
[1375] 1:14:41	approach to
[1376] 1:14:43	uh prophecies in general because it
[1377] 1:14:46	almost always resorts to some sort of
[1378] 1:14:48	black or white white fallacy. either,
[1379] 1:14:51	you know, the prophecies are predictive
[1380] 1:14:54	of the future and there's a god and all
[1381] 1:14:56	that or it's xeventu.
[1382] 1:14:59	But I think prophecy there's other
[1383] 1:15:02	alternatives here that are more nuanced.
[1384] 1:15:06	I don't think those are the only two
[1385] 1:15:08	alternatives.
[1386] 1:15:10	So I think that's um like for example I
[1387] 1:15:13	think I have I hold to a kind of
[1388] 1:15:16	reconstruction view of or um sorry not
[1389] 1:15:20	reconstruction um
[1390] 1:15:22	oh um what's it called now
[1391] 1:15:27	uh recapitulation view of prophecy
[1392] 1:15:30	where
[1393] 1:15:32	yes the prophecy was written back in the
[1394] 1:15:36	old days but it gets reinterpreted for
[1395] 1:15:39	every generation.
[1396] 1:15:42	So that's an alternative
[1397] 1:15:46	to say that view of xvent2 you know it's
[1398] 1:15:49	not the only outcome of this.
[1399] 1:15:53	So,
[1400] 1:16:02	so um again I just I just don't I don't
[1401] 1:16:07	have strong confidence in the consensus
[1402] 1:16:09	dating because it's based upon certain
[1403] 1:16:14	uh assumptions
[1404] 1:16:16	that
[1405] 1:16:19	I mean it becomes a tutological thing.
[1406] 1:16:22	It's circular. You're assuming the
[1407] 1:16:24	assumption that gets you the conclusion.
[1408] 1:16:30	So I I find that deeply deeply
[1409] 1:16:33	problematic from a methodological
[1410] 1:16:35	standpoint.
[1411] 1:16:37	So anyway, I hope that helps. Thank you
[1412] 1:16:39	for the question. Really appreciate it.
[1413] 1:16:46	Uh, Maverick Globe asks, "Is it possible
[1414] 1:16:49	that the original readers of Enoch would
[1415] 1:16:51	have understood Enoch was not written by
[1416] 1:16:53	Enoch and that it was common place at
[1417] 1:16:55	the time to write under the name of
[1418] 1:16:57	someone else?" Um,
[1419] 1:17:01	yes.
[1420] 1:17:03	Yes, that is possible that the original
[1421] 1:17:06	readers understood that Enoch was not
[1422] 1:17:08	written by Enoch. Okay, that's
[1423] 1:17:11	definitely possible.
[1424] 1:17:13	Um, and it was common place for people
[1425] 1:17:17	to write under the name of of of someone
[1426] 1:17:20	else. Think of think of this.
[1427] 1:17:22	Pseudapigrify is kind of like
[1428] 1:17:23	fanfiction. It's the ancient form of
[1429] 1:17:25	fanfiction
[1430] 1:17:27	where people are writing under different
[1431] 1:17:30	people's names uh expanding um with more
[1432] 1:17:35	reading material. you know, kind of like
[1433] 1:17:40	um someone writing more Harry Potters in
[1434] 1:17:43	um uh I forget her name now. Um
[1435] 1:17:48	was the author of Harry Potter?
[1436] 1:17:52	>> Brain Blank.
[1437] 1:17:53	>> Yeah, Brain Blank.
[1438] 1:17:58	Uh so, um
[1439] 1:18:01	Ghost Writers literally Yeah.
[1440] 1:18:04	Yeah. So, it's it's Yeah. JK Rowling.
[1441] 1:18:07	Yeah. It's like someone writing in JK
[1442] 1:18:09	Rowling's name of of say more
[1443] 1:18:11	fanfiction.
[1444] 1:18:15	So,
[1445] 1:18:17	I mean, here's the thing with Enoch.
[1446] 1:18:18	Everyone knew Enoch was dead or at least
[1447] 1:18:22	taken away prior to the flood, and he
[1448] 1:18:25	had not come back.
[1449] 1:18:27	So, the writers, the original readers of
[1450] 1:18:30	Enoch would have known that. So Enoch
[1451] 1:18:34	was essentially a kind of fanfiction.
[1452] 1:18:38	So but later writers, some later
[1453] 1:18:41	readers, you know, seem to have taken it
[1454] 1:18:44	a lot more seriously.
[1455] 1:18:46	So
[1456] 1:18:54	uh Maverick go kind of like the
[1457] 1:18:55	testimony of the 12 patriarchs. Yeah.
[1458] 1:18:57	Yeah. Exactly.
[1459] 1:18:59	Yeah. Exactly what it is.
[1460] 1:19:06	>> [laughter]
[1461] 1:19:07	>> Mama says, "Apparently Potter fanfic is
[1462] 1:19:09	the most read fanfic on AO3." Yeah, that
[1463] 1:19:12	doesn't surprise me.
[1464] 1:19:14	That doesn't surprise me.
[1465] 1:19:25	All right, moving on here.
[1466] 1:19:31	shared universe.
[1467] 1:19:32	>> Yeah, it becomes a shared universe then.
[1468] 1:19:34	And frankly,
[1469] 1:19:36	um
[1470] 1:19:40	>> which one?
[1471] 1:19:40	>> Thieves world.
[1472] 1:19:41	>> Oh, thieves world. Yeah. Oh, yeah.
[1473] 1:19:43	Thieves world was a shared universe.
[1474] 1:19:45	Yeah. Um [clears throat]
[1475] 1:19:48	so you know when you talk about say
[1476] 1:19:51	books like the book of uh Enoch, the
[1477] 1:19:54	book of the 12 patriarchs, that sort of
[1478] 1:19:56	thing, it becomes it becomes a kind of a
[1479] 1:19:58	shared universe where you have um extra
[1480] 1:20:02	biblical writers adding to that shared
[1481] 1:20:06	universe. So
[1482] 1:20:09	So you know, it's uh you just kind of
[1483] 1:20:12	sometimes have to accept that that's
[1484] 1:20:14	what's going on there.
[1485] 1:20:26	All right, next one here is from
[1486] 1:20:30	Mama for five bucks. Thank you for the
[1487] 1:20:32	super chat. We really appreciate your
[1488] 1:20:33	support of the channel.
[1489] 1:20:36	She says, "The kids and I really enjoyed
[1490] 1:20:38	the free audio book of Reoquery of the
[1491] 1:20:40	Dead on YouTube."
[1492] 1:20:43	Woohoo.
[1493] 1:20:46	and realized I may have been pron
[1494] 1:20:48	mispronouncing Arish. Thanks. [laughter]
[1495] 1:20:52	Hey, look, I mean, a lot of these
[1496] 1:20:53	things, um, what we're doing, um, glad
[1497] 1:20:56	you brought this up because we are
[1498] 1:20:58	actually,
[1499] 1:20:59	uh, I'm actually using AI
[1500] 1:21:02	to do the audio book for
[1501] 1:21:09	All the Stars as Angels. Okay.
[1502] 1:21:13	Um, and it's interesting what that's
[1503] 1:21:16	mispronouncing.
[1504] 1:21:17	[laughter]
[1505] 1:21:18	So, um,
[1506] 1:21:21	that's mispronouncing a whole lot of
[1507] 1:21:23	things,
[1508] 1:21:25	but I thought it was kind of, um, how do
[1509] 1:21:27	you say um,
[1510] 1:21:29	Inception,
[1511] 1:21:31	an AI narrating the book from the point
[1512] 1:21:34	of view of an AI? [laughter]
[1513] 1:21:43	Yeah. Yeah, that's exactly it. Mahat
[1514] 1:21:45	came out as what? [laughter]
[1515] 1:21:54	Mama goes, "Using AI for book two kind
[1516] 1:21:56	of checks out." And that's from someone
[1517] 1:21:58	who's pretty anti- AI. I'm uh I'm kind
[1518] 1:22:02	of midlins on AI.
[1519] 1:22:05	Um I I use it for some things. Um and
[1520] 1:22:09	what I use it for works really well.
[1521] 1:22:11	There's things I won't use it for,
[1522] 1:22:13	though.
[1523] 1:22:14	I won't use it to write. Okay, just
[1524] 1:22:17	absolutely will not use it to write.
[1525] 1:22:21	I will not use it for style checking. I
[1526] 1:22:25	hate it really.
[1527] 1:22:28	Uh I hate what it does to style.
[1528] 1:22:31	Um,
[1529] 1:22:34	but uh I'll say this, it's so far done
[1530] 1:22:38	an okay job of of say uh text to voice.
[1531] 1:22:43	Even getting some of the emotion
[1532] 1:22:45	correct, which I'm thinking, yeah, you
[1533] 1:22:46	know, if you if it gets the emotion
[1534] 1:22:48	correct on the narration, yeah, that's
[1535] 1:22:51	not bad. Uh I'll use it for say um um
[1536] 1:22:58	uh what's it called now? Photoshop. uh
[1537] 1:23:01	assets take assets from AI, put it into
[1538] 1:23:04	Photoshop, manipulate it with Photoshop
[1539] 1:23:07	and it's becomes transformative at that
[1540] 1:23:09	point.
[1541] 1:23:11	So, so I don't have a huge thing against
[1542] 1:23:15	AI. There are things though I just will
[1543] 1:23:18	not use it for.
[1544] 1:23:20	But then again,
[1545] 1:23:25	Milo Mortimer says, "I should do a
[1546] 1:23:27	character voice claim for all the
[1547] 1:23:29	characters I've read about so far.
[1548] 1:23:38	So, uh,
[1549] 1:23:42	a JK Patriot Chat GPT doesn't like me
[1550] 1:23:46	very much. Chat GPT is one of the worst
[1551] 1:23:50	um AIs for a lot of things. I don't ever
[1552] 1:23:54	use Chat GPT. Uh for voice texttovoice,
[1553] 1:23:58	I use Gemini.
[1554] 1:24:01	For um visual assets, I will use
[1555] 1:24:06	um a combination of um
[1556] 1:24:11	of Gemini and um Deep AI.
[1557] 1:24:17	Uh but um
[1558] 1:24:23	Milo says
[1559] 1:24:26	Neva basically sounds like a Subnotica
[1560] 1:24:28	PDA.
[1561] 1:24:30	Okay. [laughter]
[1562] 1:24:33	Uh the AI actually uh
[1563] 1:24:37	um
[1564] 1:24:40	um
[1565] 1:24:42	did okay with Neva. It didn't do it
[1566] 1:24:45	didn't do so well with Satatori.
[1567] 1:24:48	Satatori. It had problems with
[1568] 1:24:51	uh
[1569] 1:24:53	uh it it it mispronounced
[1570] 1:24:56	uh um Satatori as either story or
[1571] 1:25:01	Centauri. That one I that one I kind of
[1572] 1:25:04	went what? [laughter]
[1573] 1:25:08	Yeah. So, uh the the Centauri getting
[1574] 1:25:11	Centauri from Sattorii. Um
[1575] 1:25:15	it would also like for on the serial
[1576] 1:25:18	numbers like uh Neva 42716,
[1577] 1:25:21	it would sometimes add extra digits like
[1578] 1:25:25	it would add it would say uh CN Neva
[1579] 1:25:28	4271166.
[1580] 1:25:32	It's like um that's not in the text.
[1581] 1:25:39	>> [laughter]
[1582] 1:25:41	[snorts]
[1583] 1:25:48	>> Milo goes, "That's how you pronounce her
[1584] 1:25:51	name." Yeah, there's a schwah. There's a
[1585] 1:25:54	schwah between the c and the t. Uh, you
[1586] 1:25:58	actually see that in a lot of English
[1587] 1:25:59	words like story
[1588] 1:26:03	is has a schwah between the s and the t.
[1589] 1:26:06	So awah is a is a sort of a little
[1590] 1:26:10	invisible e or a glottle stop sometimes.
[1591] 1:26:14	So
[1592] 1:26:18	So yeah, it's satori.
[1593] 1:26:34	Uh AJ Higgins asks, "Is arish supposed
[1594] 1:26:36	to be based on the word aresh?" Uh no.
[1595] 1:26:39	It's actually based upon
[1596] 1:26:42	um the watt aresh.
[1597] 1:26:44	Um the
[1598] 1:26:48	um the colony names on uh Glee
[1599] 1:26:55	were um
[1600] 1:26:58	the colony names on Glee were based upon
[1601] 1:27:01	various wattis that are found along the
[1602] 1:27:04	um ancient near east or in the near
[1603] 1:27:06	east. Uh there's a wad rash that's on
[1604] 1:27:09	the north coast of the Sinai. There's
[1605] 1:27:11	also a Wadi Bazra.
[1606] 1:27:13	So they're based on the names of waddies
[1607] 1:27:15	of actual waddies and wadi is a seasonal
[1608] 1:27:18	river by the way. So
[1609] 1:27:24	um
[1610] 1:27:27	uh what was it called now? Um like uh
[1611] 1:27:29	the AI also had problems pronouncing
[1612] 1:27:32	glee. It would it would also it would
[1613] 1:27:34	pronounce it like gleazy
[1614] 1:27:37	glazy.
[1615] 1:27:40	So, and it would do it unpredictably.
[1616] 1:27:43	So,
[1617] 1:27:58	Ryan Cohen Camp, do you make up names or
[1618] 1:28:00	do you find them from history,
[1619] 1:28:02	geography, around from our world? I
[1620] 1:28:04	typically tend to um use names that are
[1621] 1:28:07	already in use. Okay. So, in the case of
[1622] 1:28:11	like cities,
[1623] 1:28:13	um I tend to use those unless they're
[1624] 1:28:16	alien cities. Alien cities I'll make up
[1625] 1:28:19	because they don't have any relation to
[1626] 1:28:21	our world. But if they're a human
[1627] 1:28:23	colony, I will tend to name them after
[1628] 1:28:26	say a human city. Um like I might use
[1629] 1:28:30	like New Denver.
[1630] 1:28:32	Okay? Or as I said, Arish is a real
[1631] 1:28:35	name, a name of a real place. Bosra is a
[1632] 1:28:38	name of a real place.
[1633] 1:28:41	So that's taken from the geography of
[1634] 1:28:42	the world and that's because humans tend
[1635] 1:28:44	to reuse
[1636] 1:28:46	uh names from our world. Like for
[1637] 1:28:48	example there in the ancient world
[1638] 1:28:49	there's 21 Antiochs
[1639] 1:28:52	uh three Hermopoly
[1640] 1:28:55	uh two thieves.
[1641] 1:28:57	People love renaming stuff. 50 sorry 62
[1642] 1:29:01	Springfields
[1643] 1:29:03	in the US alone
[1644] 1:29:10	Ryan Cohen camp new new New York yeah
[1645] 1:29:14	well I mean where where did we get New
[1646] 1:29:16	York from
[1647] 1:29:17	York it's from York in England it's the
[1648] 1:29:21	New York
[1649] 1:29:24	and what was it before that it was New
[1650] 1:29:27	Amsterdam
[1651] 1:29:30	Take it from Amsterdam.
[1652] 1:29:36	>> Never see
[1653] 1:29:38	generation Amsterdam.
[1654] 1:29:40	>> Yeah.
[1655] 1:29:41	>> Fifth generation.
[1656] 1:29:44	>> Mama goes, "Duck, just look at all the
[1657] 1:29:46	names for moon stuff on the moon, etc.
[1658] 1:29:49	Mars." Yeah, absolutely.
[1659] 1:29:51	I mean, I named the satellite moon of
[1660] 1:29:53	Glee Sinaloa.
[1661] 1:30:02	>> That's a great place if you're an
[1662] 1:30:03	author, too.
[1663] 1:30:09	>> Uh, Mr. Iceight says, "A lot of space
[1664] 1:30:12	YouTubers I watch pronounce the E at the
[1665] 1:30:13	end, sort of at the end of Glee, sort of
[1666] 1:30:16	like Gley." Yeah, I'm not sure what the
[1667] 1:30:19	correct pronunciation is. It's both. It
[1668] 1:30:22	was named after a real person. Okay.
[1669] 1:30:25	[snorts] Glee was the name of an
[1670] 1:30:27	astronomer.
[1671] 1:30:29	Okay. Um,
[1672] 1:30:32	it's it's not it's I I looked it up.
[1673] 1:30:36	It's technically Glee.
[1674] 1:30:39	Um, it's not Gleazy. Um but because
[1675] 1:30:42	that's
[1676] 1:30:43	>> or glissay uh it's it's named after a
[1677] 1:30:46	real person.
[1678] 1:30:47	>> Yeah. So but that's the way I read which
[1679] 1:30:50	>> yeah a lot of people read it as glaci
[1680] 1:30:52	but I um uh the from what I gather it's
[1681] 1:30:56	Glee.
[1682] 1:31:00	>> Now if you make up alien names
[1683] 1:31:04	uh comments
[1684] 1:31:05	>> we'll get to that get to that in a
[1685] 1:31:07	moment.
[1686] 1:31:09	Uh,
[1687] 1:31:11	mama says Doctor Who reference. You mean
[1688] 1:31:12	Neva? Yeah. Yeah, it is. There's
[1689] 1:31:16	actually a lot of Doctor Who references
[1690] 1:31:18	in the books.
[1691] 1:31:20	Neva is named after a Doctor Who
[1692] 1:31:23	character and is nothing like that
[1693] 1:31:24	character, but such a cool name. Such a
[1694] 1:31:27	cool name.
[1695] 1:31:38	Ryan Cohen camp. How do you make up
[1696] 1:31:39	alien names?
[1697] 1:31:43	How I do it is I start with a conlang.
[1698] 1:31:47	I start making up a few names. Okay,
[1699] 1:31:49	here's here's here's how I how this is
[1700] 1:31:51	how I do alien names. Should I drop a
[1701] 1:31:54	few uh spoilers? A few alien names. All
[1702] 1:31:56	right, I'm going to drop you a few alien
[1703] 1:31:58	names. This will be coming up in book
[1704] 1:32:02	four.
[1705] 1:32:04	So, if you if you want if you don't want
[1706] 1:32:06	any spoilers at all, you'll have to um
[1707] 1:32:10	uh plug your ears real hard. So, let me
[1708] 1:32:14	find out where
[1709] 1:32:16	There it is. There is
[1710] 1:32:19	There it is. Okay.
[1711] 1:32:26	Okay.
[1712] 1:32:27	I've got some names like Headm
[1713] 1:32:35	Denit
[1714] 1:32:37	Kamisat
[1715] 1:32:39	Kamnuchet
[1716] 1:32:42	Hasheri
[1717] 1:32:44	Aabat
[1718] 1:32:46	Sadesher.
[1719] 1:32:48	Okay, those are names that are going to
[1720] 1:32:50	be in the in book four.
[1721] 1:32:54	Okay.
[1722] 1:32:56	Now, what did I do? How did I come up
[1723] 1:32:58	with the alienids? I started with a few
[1724] 1:33:01	a very very few
[1725] 1:33:04	um uh a very few alien names. So, I have
[1726] 1:33:08	a handful of alien names and then this
[1727] 1:33:11	is what I do. I make up a conlang. Okay?
[1728] 1:33:16	Because the best way to know the
[1729] 1:33:18	phonetic system of a conlang is through
[1730] 1:33:21	names.
[1731] 1:33:23	This is how we uh this is how we
[1732] 1:33:24	deciphered the u the Rosetta Stone. We
[1733] 1:33:27	started with names and worked backwards,
[1734] 1:33:30	you know. Um Champolon started with
[1735] 1:33:33	names found in cartes,
[1736] 1:33:36	worked out the phonetics and then went
[1737] 1:33:38	backwards to the rest of language.
[1738] 1:33:42	So you can do this in fiction too, which
[1739] 1:33:44	is you start you create a few alien
[1740] 1:33:46	names like I um this is one of the
[1741] 1:33:50	things that happened at the uh um the um
[1742] 1:33:54	workshop I did on how to make a conlang
[1743] 1:33:58	and
[1744] 1:33:59	this this woman raised her hand and
[1745] 1:34:02	asked, "Well, how do I know how things
[1746] 1:34:06	are pronounced in this language I'm I'm
[1747] 1:34:07	building?" I said, "Do you have some
[1748] 1:34:11	character names?" She goes, "Yes."
[1749] 1:34:15	Well, you already know the basic
[1750] 1:34:16	phonetics of your language.
[1751] 1:34:19	You know the basic phonetics of your
[1752] 1:34:21	language
[1753] 1:34:23	that um uh that you can use to construct
[1754] 1:34:27	the rest of the phonetics of your
[1755] 1:34:28	language and you make all your names
[1756] 1:34:30	using those phonetics.
[1757] 1:34:33	So that's what I do when making up alien
[1758] 1:34:35	names. I start with a few names. I work
[1759] 1:34:38	out the phonetics from those names.
[1760] 1:34:40	What's going to be dominant? What's
[1761] 1:34:41	going to be not in the found in the
[1762] 1:34:43	language? And then I create a conlang
[1763] 1:34:47	basic conlang. And then make all the
[1764] 1:34:49	other names from that.
[1765] 1:34:56	So
[1766] 1:35:01	take the butts out. [laughter]
[1767] 1:35:05	Well, it wasn't that much of a spoiler.
[1768] 1:35:06	Come on.
[1769] 1:35:09	>> [laughter]
[1770] 1:35:16	>> Mama goes, "You being a polygot glut
[1771] 1:35:18	really comes across." Well, yeah. Ryan
[1772] 1:35:21	Cohen Clamp asks, "Is the Conland talk
[1773] 1:35:24	recorded?" No, it wasn't. Um, I just
[1774] 1:35:27	never think to record those things at
[1775] 1:35:28	the time. Um, I do have the um worksheet
[1776] 1:35:32	uh posted on my um what's it called now?
[1777] 1:35:36	um
[1778] 1:35:39	Substack. I posted the the worksheet on
[1779] 1:35:41	Substack to the talk, but I I never
[1780] 1:35:43	recorded it.
[1781] 1:35:53	Mama goes, "Doc, the few times I've
[1782] 1:35:54	tried to write fiction pros, the names
[1783] 1:35:56	were one of the first things I worked
[1784] 1:35:58	out. I feel like the name should always
[1785] 1:36:00	mean something, even if you don't
[1786] 1:36:02	explain it." Yeah, sure.
[1787] 1:36:04	>> That's the iceberg effect. absolutely do
[1788] 1:36:06	not have to explain it.
[1789] 1:36:07	>> Yeah, you don't have to explain it. You
[1790] 1:36:10	know, it's uh it's one of those things
[1791] 1:36:13	where it just you understand how things
[1792] 1:36:16	work
[1793] 1:36:17	and
[1794] 1:36:19	then you can build upon that. Uh it's
[1795] 1:36:23	always good to know more about your
[1796] 1:36:25	story than what goes into your story.
[1797] 1:36:28	It's it's like this. You do a ton of
[1798] 1:36:31	research for your book
[1799] 1:36:34	and then you don't write about it.
[1800] 1:36:37	[laughter]
[1801] 1:36:40	That's
[1802] 1:36:40	>> in the richness of the world.
[1803] 1:36:42	>> It's in the richness of the world that
[1804] 1:36:44	that comes out. It's in the texture of
[1805] 1:36:46	the world.
[1806] 1:36:52	Milo goes, "That's why I struggle to
[1807] 1:36:54	find names for my characters so much.
[1808] 1:36:56	They've got to be some stupid dumb
[1809] 1:36:57	meaning."
[1810] 1:36:59	Okay. If you've got a meaning, you also
[1811] 1:37:02	got a syntax. You've already got
[1812] 1:37:04	vocabulary.
[1813] 1:37:06	I don't see this as a problem.
[1814] 1:37:12	As long as the names are kind of feel
[1815] 1:37:14	feel consistent with each other, it's
[1816] 1:37:17	not an issue.
[1817] 1:37:19	Robot names android names in my world
[1818] 1:37:21	are very very different than the beings
[1819] 1:37:25	that are going to be in book four.
[1820] 1:37:26	They're very different. It's a different
[1821] 1:37:28	language, different language and
[1822] 1:37:32	different um different pronunciations.
[1823] 1:37:38	So,
[1824] 1:37:42	okay. So, I think we addressed most of
[1825] 1:37:46	um
[1826] 1:37:48	um this here. So, we'll be moving on.
[1827] 1:37:54	We've already answered how to uh uh
[1828] 1:37:57	pronounce Satori and it's C O R I.
[1829] 1:38:05	Uh
[1830] 1:38:07	next one here.
[1831] 1:38:10	Oh, um Milo asks, "Can you leave a
[1832] 1:38:12	review without an account?" You should
[1833] 1:38:15	be able to. Um I I think you have to put
[1834] 1:38:18	use an account for Amazon and for
[1835] 1:38:21	Goodreads.
[1836] 1:38:23	Uh but uh Goodreads you shouldn't
[1837] 1:38:25	there's there I don't think there's any
[1838] 1:38:27	um age restriction for good readads.
[1839] 1:38:29	There might be an age restriction for
[1840] 1:38:33	um for Amazon but for good good readads
[1841] 1:38:37	no there's no age restriction for good
[1842] 1:38:38	readads. So, if you um you do have to
[1843] 1:38:42	have an account on Goodreads, but again
[1844] 1:38:44	is there's no age restriction there, so
[1845] 1:38:45	you should be fine with that one.
[1846] 1:38:53	All right, mama, for $2. Thank you for
[1847] 1:38:55	the super chat.
[1848] 1:38:57	Really funny to hear you read
[1849] 1:38:59	characters.
[1850] 1:39:04	Well, um, uh, I I don't know what to
[1851] 1:39:08	think about that. [laughter]
[1852] 1:39:14	[laughter]
[1853] 1:39:15	Uh,
[1854] 1:39:16	yes, if you want to hear me cuss on uh
[1855] 1:39:20	on um on YouTube, yes, there is cussing
[1856] 1:39:24	in the book. Mildly, but yes, it's
[1857] 1:39:26	there.
[1858] 1:39:31	And that and that is in the um that is
[1859] 1:39:35	in the content warning. So I no one
[1860] 1:39:38	should be surprised that there's cursing
[1861] 1:39:40	in the book. It's in the description.
[1862] 1:39:42	It's in the content warnings. Nobody
[1863] 1:39:45	should be caught off guard by that. If
[1864] 1:39:48	you have little sensitive ears
[1865] 1:39:50	listening,
[1866] 1:39:52	maybe you should have read the content
[1867] 1:39:54	readings first. Just saying.
[1868] 1:39:58	Ryan Cohen camp. Darn clankers.
[1869] 1:40:07	[laughter] Mama says mildly. The
[1870] 1:40:09	14-year-old. Oh yeah.
[1871] 1:40:14	CBM versus DOSS. Mom, Dr. Faulk said a
[1872] 1:40:18	no. No. [laughter]
[1873] 1:40:22	Oh, you can. I mean, some books get
[1874] 1:40:25	really uh ripe with it. Okay, let's
[1875] 1:40:27	let's be let's be let's be honest here.
[1876] 1:40:30	We don't have that much in there.
[1877] 1:40:35	And it is in character.
[1878] 1:40:46	So
