[0] 0:22	Oh,
[1107] 58:24	is not drunkenness. It's using a weapon
[1108] 58:27	in a dangerous manner. So or assault or
[1109] 58:31	potentially murder. So
[1110] 58:35	yeah, so it it only you only got
[1111] 58:37	punished for being publicly drunk if you
[1112] 58:39	did something um did another crime while
[1113] 58:44	being drunk.
[1114] 58:49	Okay, so hope that answered that
[1115] 58:50	question. Uh thank you very much for
[1116] 58:53	that super chat. Very much appreciated.
[1117] 58:54	Hope that helps.
[1118] 58:57	Next one here is from TBTM for19. Thank
[1119] 59:00	you for the super chat.
[1120] 59:02	What are the biggest problems with the
[1121] 59:05	Levite hypothesis? Okay. Um, I think we
[1122] 59:08	need to sort of explain the Levite
[1123] 59:11	hypothesis before we um get into it. The
[1124] 59:15	Levite hypothesis is that there was a
[1125] 59:18	real Exodus,
[1126] 59:20	but it was only of the tribe of Levi.
[1127] 59:24	So, only the Levites
[1128] 59:27	left Egypt.
[1129] 59:29	It was a real small exodus of about
[1130] 59:31	2,000 people.
[1131] 59:34	They enter into the promised land
[1132] 59:36	somehow really without fighting.
[1133] 59:41	And they convince all the other tribes
[1134] 59:44	of Israelites or Canaanites. They they
[1135] 59:47	they convince all these Canaanites to
[1136] 59:50	band together
[1137] 59:52	to become
[1138] 59:54	Israelites
[1139] 59:55	and give up pork.
[1140] 59:58	follow all these dietary laws, do
[1141] 1:00:01	whatever they say.
[1142] 1:00:04	Um,
[1143] 1:00:08	and and
[1144] 1:00:10	[clears throat]
[1145] 1:00:11	but that's that's sort of the core of
[1146] 1:00:12	the Levite hypothesis. Now, um, the
[1147] 1:00:16	Levite hypothesis depends
[1148] 1:00:21	really really strongly on the
[1149] 1:00:23	documentary hypothesis. Okay?
[1150] 1:00:26	uh like for example if you listen to uh
[1151] 1:00:28	Richard Elliot Freriedman's lectures on
[1152] 1:00:31	the Levite hypothesis
[1153] 1:00:33	80% of the hypothes 80% of his lectures
[1154] 1:00:36	are always on the documentary hypothesis
[1155] 1:00:39	the last 20% is on the Levite
[1156] 1:00:43	um Exodus itself. Okay.
[1157] 1:00:46	So
[1158] 1:00:49	so what it requires is it's a it's a
[1159] 1:00:53	textual view. It basically is looking at
[1160] 1:00:56	at at the literary sources and saying
[1161] 1:00:59	okay E, P and D which are primarily
[1162] 1:01:04	Levite sources, you know, they have an
[1163] 1:01:07	emphasis on circumcision.
[1164] 1:01:09	Therefore, those coming out of the
[1165] 1:01:12	Exodus must have been primarily Levites.
[1166] 1:01:16	uh most of the names of the people who
[1167] 1:01:19	left the Exodus and had Egyptian names,
[1168] 1:01:23	they were Levites.
[1169] 1:01:25	Of course, they ignore her, which is the
[1170] 1:01:28	Egyptian name Horus, which applied to a
[1171] 1:01:31	Judahite, but hey, hey, hey. [laughter]
[1172] 1:01:35	But yeah, you'll hear him saying that
[1173] 1:01:37	all the Egyptian names, those out coming
[1174] 1:01:39	out of the Exodus, uh those Israelites
[1175] 1:01:42	who had Egyptian names, they were
[1176] 1:01:43	Levites, which is not true. It's just
[1177] 1:01:45	not true. Um,
[1178] 1:01:49	and then they they they somehow sneak
[1179] 1:01:53	into Canaan and convince a whole vast
[1180] 1:01:59	number of tribes to to rise up against
[1181] 1:02:05	other Canaanites apparently and and
[1182] 1:02:08	Amorites
[1183] 1:02:09	and
[1184] 1:02:11	and um, you know,
[1185] 1:02:15	knock everyone off
[1186] 1:02:18	uh in exchange for you do everything we
[1187] 1:02:21	tell you to do.
[1188] 1:02:23	Okay. Uh
[1189] 1:02:27	I don't really think I have to lay out
[1190] 1:02:29	the problems with the hypothesis here in
[1191] 1:02:32	any great detail. Um it's almost
[1192] 1:02:35	self-refuting.
[1193] 1:02:39	Um the whole idea of of the quiet
[1194] 1:02:43	infiltration I think is nonsense. I
[1195] 1:02:45	think it's archaeologically nonsense. Um
[1196] 1:02:49	the fact is we do have have destructions
[1197] 1:02:51	for Hatsur and and Jericho. You know Jer
[1198] 1:02:55	there's no reason to to to destroy
[1199] 1:02:57	Jericho if you're already inside the
[1200] 1:02:59	country.
[1201] 1:03:01	There's only one reason to destroy
[1202] 1:03:02	Jericho
[1203] 1:03:04	because it's it's guarding the fords of
[1204] 1:03:06	the Jordan. You only have to destroy
[1205] 1:03:10	Jericho if you want to get into Canaan.
[1206] 1:03:14	If you're already inside Canaan because
[1207] 1:03:17	you snuck in somehow, there's no need to
[1208] 1:03:19	destroy Jericho.
[1209] 1:03:24	I think the idea of a 2,000 person
[1210] 1:03:28	um exodus is just ridiculous.
[1211] 1:03:31	Um the whole idea that I mean there were
[1212] 1:03:34	there were at least 5,000 people at
[1213] 1:03:36	Varsus all by itself. five to 50,000.
[1214] 1:03:40	So I think you're talking about it in
[1215] 1:03:41	Exodus at least in the tens of
[1216] 1:03:42	thousands. Not not the not the twos
[1217] 1:03:47	2,000.
[1218] 1:03:49	Um I think the use of I think the um
[1219] 1:03:53	documentary hypothesis is an idiotic
[1220] 1:03:56	theory that is based upon hypothetical
[1221] 1:03:59	sources that for which there's no
[1222] 1:04:01	warrant, no methodological
[1223] 1:04:04	justification.
[1224] 1:04:05	Um, I I just think it's it's one of
[1225] 1:04:08	those crazy theories like phenology that
[1226] 1:04:11	that deserves to die.
[1227] 1:04:14	Um,
[1228] 1:04:16	so without the documentary hypothesis
[1229] 1:04:19	really the whole Levite hypothesis thing
[1230] 1:04:21	goes to dust. It really it it needs the
[1231] 1:04:24	documentary hypothesis. Without the
[1232] 1:04:27	documentary hypothesis the Levite
[1233] 1:04:29	hypothesis has no warrant.
[1234] 1:04:32	So, but this is this is again why
[1235] 1:04:36	Freriedman devotes most of his time to
[1236] 1:04:38	the documentary hypothesis because
[1237] 1:04:40	without that the Levite hypothesis is
[1238] 1:04:43	just there's nothing to it. So,
[1239] 1:04:48	uh
[1240] 1:04:50	just it's so stupid. Yeah. Yeah. That's
[1241] 1:04:53	that's about it.
[1242] 1:04:57	Yeah. This is why we're evidentialists.
[1243] 1:04:59	So,
[1244] 1:05:03	Mama says, "Plus, if it was only 2,000
[1245] 1:05:05	people, would Pharaoh even bother?" You
[1246] 1:05:07	know, that's the big question, isn't it?
[1247] 1:05:09	Would he bother with 2,000 people? You
[1248] 1:05:12	know, that's
[1249] 1:05:14	>> No, I mean, 2,000 leaving a virus is
[1250] 1:05:16	nothing.
[1251] 1:05:18	His season's over. Yeah. [laughter]
[1252] 1:05:27	Dark Blade. So, the documentary
[1253] 1:05:29	hypothesis is like the Levite
[1254] 1:05:31	hypothesis's
[1255] 1:05:33	halfworn out IV machine,
[1256] 1:05:37	pretty much. Yeah. Yeah.
[1257] 1:05:41	[laughter]
[1258] 1:05:43	So, um
[1259] 1:05:46	that's pretty hard to argue,
[1260] 1:05:51	Andrew. They left to sneak into Canaan,
[1261] 1:05:54	then God took over.
[1262] 1:05:56	Yeah. Well, I mean, the whole idea of
[1263] 1:05:59	sneaking into Canaan, you know, is just
[1264] 1:06:01	what I mean, 2,000 people is is not
[1265] 1:06:05	going to take out Jericho. Okay, you're
[1266] 1:06:07	not going to be able to take out Jericho
[1267] 1:06:09	with 200 2,000 people, okay? I mean,
[1268] 1:06:14	most of them could probably do a I mean,
[1269] 1:06:16	that's that's that's like a junior high
[1270] 1:06:18	school coming at you, [laughter]
[1271] 1:06:24	you know, a fortified city against a a a
[1272] 1:06:28	bunch of high school students. You know,
[1273] 1:06:30	come on. Really?
[1274] 1:06:34	Yeah. Mama says, "You're certainly not
[1275] 1:06:36	going to conquer all Canaan with 2,000
[1276] 1:06:38	people. You're not going to you're not
[1277] 1:06:40	going to wipe out everyone in Jericho
[1278] 1:06:41	with 2,000 people.
[1279] 1:06:44	It's just I mean Jericho is not a big
[1280] 1:06:46	city. Okay. But it is well fortified.
[1281] 1:06:49	>> Well, with 2,000 all you is
[1282] 1:06:52	>> Yeah. Yeah. With with 2,000 people all
[1283] 1:06:55	you I mean they could have if that was
[1284] 1:06:57	the case they would have just could have
[1285] 1:06:58	just moved into Jericho.
[1286] 1:07:01	You know that's if that's what they if
[1287] 1:07:03	you only had 2,000 people you know and
[1288] 1:07:06	you could take over Jericho just stay
[1289] 1:07:08	there. You got everything you need in
[1290] 1:07:10	Jericho for that.
[1291] 1:07:15	This is just it's just not a this
[1292] 1:07:17	doesn't make a lot of sense
[1293] 1:07:23	just just kind of crazy that we're
[1294] 1:07:28	Oh dear. Okay. So, uh yeah, I think I
[1295] 1:07:32	think we've kind of beat that horse to
[1296] 1:07:34	death. Uh suffice it to say I don't buy
[1297] 1:07:38	the Levite hypothesis.
[1298] 1:07:40	So,
[1299] 1:07:42	[laughter] Andrew Graeme, 2,000
[1300] 1:07:44	well-trained priests.
[1301] 1:07:48	Well, that's sort of the thing with the
[1302] 1:07:49	high uh Levite hypothesis, too, is they
[1303] 1:07:52	were said to be priests in Egypt.
[1304] 1:07:56	So, 2,000 trained priests from Egypt are
[1305] 1:08:00	conquering Jericho.
[1306] 1:08:02	Um,
[1307] 1:08:04	no. No.
[1308] 1:08:10	All right.
[1309] 1:08:13	Mama says, "This one is so
[1310] 1:08:14	embarrassingly stupid that I wouldn't be
[1311] 1:08:16	surprised if Brian Young teaches it."
[1312] 1:08:19	Oo, lowb blow. Low blow.
[1313] 1:08:22	All right, let's move on to the next
[1314] 1:08:24	one.
[1315] 1:08:27	Uh, the peeps are getting rowdy here.
[1316] 1:08:30	Uh, Louisis Sanville for 100 Dominican
[1317] 1:08:32	pesos.
[1318] 1:08:34	Are cursed objects, dolls, books, etc. a
[1319] 1:08:38	real thing?
[1320] 1:08:42	Ah,
[1321] 1:08:44	that one is really difficult to answer.
[1322] 1:08:48	Okay.
[1323] 1:08:51	Um,
[1324] 1:08:53	and I think it's really difficult to
[1325] 1:08:55	answer because we have insufficient
[1326] 1:08:57	data.
[1327] 1:08:59	Okay.
[1328] 1:09:00	Um
[1329] 1:09:03	the whole idea okay of cursed objects is
[1330] 1:09:06	what do we mean by cursed
[1331] 1:09:08	uh objects that bring you dis misfortune
[1332] 1:09:12	possessed toys? I mean what are we
[1333] 1:09:15	really talking about here when we even
[1334] 1:09:16	talk about cursed objects? Okay.
[1335] 1:09:22	Um now I have a picture of a real voodoo
[1336] 1:09:27	doll. a voodad doll that was really
[1337] 1:09:30	really used
[1338] 1:09:32	for its intended purpose, religious
[1339] 1:09:34	purpose
[1340] 1:09:36	that was left in a certain furniture
[1341] 1:09:38	store.
[1342] 1:09:41	Do I think that object was cursed? No.
[1343] 1:09:44	But
[1344] 1:09:46	>> used
[1345] 1:09:47	>> was it used for that purpose? Yes. There
[1346] 1:09:50	was some serious hate attached to that
[1347] 1:09:52	that that voodoo doll.
[1348] 1:09:55	Um, there was pins in it and chains and
[1349] 1:09:57	all that stuff. So, it was
[1350] 1:10:05	okay. But,
[1351] 1:10:07	um, do I think, first of all, do I think
[1352] 1:10:09	that an object can be possessed?
[1353] 1:10:13	No. Okay.
[1354] 1:10:16	Do I think an object can have the taint
[1355] 1:10:19	of evil attached to it? Yes.
[1356] 1:10:23	There's a difference though between
[1357] 1:10:25	saying something is possessed and having
[1358] 1:10:28	something that has the taint of evil.
[1359] 1:10:31	With the taint of evil, it becomes more
[1360] 1:10:34	receptive of things that are evil. Okay?
[1361] 1:10:38	So
[1362] 1:10:40	uh like for example if if somebody if a
[1363] 1:10:43	if a psychic uses a crystal ball that
[1364] 1:10:46	crystal ball becomes tainted in such a
[1365] 1:10:49	way that it becomes more receptive for
[1366] 1:10:52	its use as an object of evil.
[1367] 1:10:58	>> Yes. It's it's basically profanity
[1368] 1:11:00	amplified
[1369] 1:11:02	>> the inverse.
[1370] 1:11:03	>> Yeah. It's the inverse of sacred space.
[1371] 1:11:05	So instead of it being something sacred
[1372] 1:11:08	and holy, it becomes something profane
[1373] 1:11:10	and abominated.
[1374] 1:11:12	Okay. So I think something having the
[1375] 1:11:15	tent of evil is possible.
[1376] 1:11:19	So then for example this whole idea then
[1377] 1:11:21	that you know sort of the
[1378] 1:11:25	um the idea that that an object can be
[1379] 1:11:29	receptive
[1380] 1:11:31	to being used in an evil way. Yeah.
[1381] 1:11:34	Sure, that's possible.
[1382] 1:11:37	Is it possessed? I don't think so. Okay.
[1383] 1:11:40	So, I don't I don't think I don't think
[1384] 1:11:42	say things like possessed toys are a
[1385] 1:11:45	thing. Okay. Um although Raggedyanne
[1386] 1:11:50	sure looks possessed to me. [laughter]
[1387] 1:12:00	Dark Blade. If a fortune teller uses
[1388] 1:12:02	some stylized cards, do those gain the
[1389] 1:12:04	taint of evil? They could, but that
[1390] 1:12:07	doesn't mean they will. Okay.
[1391] 1:12:14	Louis Sandival. Like when someone
[1392] 1:12:15	perhaps has a baseball bat and uses it
[1393] 1:12:17	for evil purposes. Yeah. Yeah. Like
[1394] 1:12:19	that.
[1395] 1:12:23	Now, is that psychossematic?
[1396] 1:12:25	Possibly. That's possibly psychosmatic
[1397] 1:12:28	that someone may know that an item is
[1398] 1:12:29	used for evil. and is thus inclined to
[1399] 1:12:32	use it for evil too. There is that
[1400] 1:12:34	possibility that there's a
[1401] 1:12:36	psychossematic element. There is a some
[1402] 1:12:40	um possibility that folk uh basically
[1403] 1:12:44	applied pharmarmacology could be
[1404] 1:12:46	involved too.
[1405] 1:12:48	Or like for example, if somebody has a
[1406] 1:12:50	baseball bat like a drug dealer, he
[1407] 1:12:53	always has cocaine on his hands,
[1408] 1:12:56	okay? and he grabs the handle of the bat
[1409] 1:12:58	and sort of grinds the cocaine into the
[1410] 1:13:01	into the leather handle of the bat so
[1411] 1:13:03	that the next person picks it up and you
[1412] 1:13:05	know becomes a little less um inhibited
[1413] 1:13:08	to do evil with it.
[1414] 1:13:11	So there there's a various factors of
[1415] 1:13:13	psychology from ecology that are
[1416] 1:13:16	involved with these things as well as
[1417] 1:13:18	possibly say the spiritual as well.
[1418] 1:13:25	>> Yeah.
[1419] 1:13:27	Yeah, a lot of a lot of ancient
[1420] 1:13:29	neareastern magic involved a lot of
[1421] 1:13:31	pharmacology, so we can't rule that out
[1422] 1:13:32	as well.
[1423] 1:13:36	Um, Timara, how about holy objects then?
[1424] 1:13:38	Well, the fact is that holy objects tend
[1425] 1:13:40	to be used for holy purposes
[1426] 1:13:42	consistently.
[1427] 1:13:44	You don't often see a priest taking the
[1428] 1:13:47	the um the eukarist, the the vessel of
[1429] 1:13:50	the Eucharist and slamming it into
[1430] 1:13:52	somebody's head. I'm just saying.
[1431] 1:13:58	Or taking someone's head and dunking it
[1432] 1:14:00	into the baptismal folds. [laughter]
[1433] 1:14:06	Okay.
[1434] 1:14:08	I I I have yet to see a priest do
[1435] 1:14:12	[laughter] that. You know, the the
[1436] 1:14:14	equivalent of sticking someone's head in
[1437] 1:14:16	the toilet, but with a baptismal
[1438] 1:14:17	thought.
[1439] 1:14:19	James Bond would. I'm sure he would.
[1440] 1:14:24	>> [laughter]
[1441] 1:14:25	>> Cocaine bats. Sure.
[1442] 1:14:28	>> But it is true that you go into churches
[1443] 1:14:35	feeling.
[1444] 1:14:37	>> Yeah, there is.
[1445] 1:14:39	There is a there is a feeling of peace.
[1446] 1:14:40	you have when you enter a cathedral
[1447] 1:14:43	uh or a church and and you know there is
[1448] 1:14:47	you know holiness to it, peace, sanctity
[1449] 1:14:51	and a general respect for these things.
[1450] 1:14:55	So the whole idea of um
[1451] 1:15:04	mama says here I have witnessed a cursed
[1452] 1:15:06	object placed outside of church. I felt
[1453] 1:15:09	it there in my spirit. Therefore, before
[1454] 1:15:11	seeing it with my eyes now, was it
[1455] 1:15:13	spirits hanging around or the curse?
[1456] 1:15:15	Probably spirits hanging around. Um the
[1457] 1:15:19	idea of a curse itself. Um
[1458] 1:15:23	now, one of the things we have to keep
[1459] 1:15:25	in mind is
[1460] 1:15:27	um curses are a magical incantation
[1461] 1:15:33	religiously speaking. Okay?
[1462] 1:15:36	um they're not a residual effect.
[1463] 1:15:39	So what you're doing when you curse
[1464] 1:15:42	someone is you are calling doing a
[1465] 1:15:46	magical incantation to bring misfortune
[1466] 1:15:50	upon somebody.
[1467] 1:15:53	You that is not something that can stay
[1468] 1:15:55	resident in an object.
[1469] 1:15:58	But there's nothing preventing somebody
[1470] 1:16:02	from making a spell like that where it
[1471] 1:16:05	invites say good for nothing demons to
[1472] 1:16:08	hang around.
[1473] 1:16:11	So
[1474] 1:16:13	So Windows ME Yeah. Okay. Windows MP me
[1475] 1:16:17	was definitely cursed. Cursed software.
[1476] 1:16:23	>> That's human stupidity.
[1477] 1:16:25	>> Human stupidity.
[1478] 1:16:27	[laughter]
[1479] 1:16:28	is is human stupidity and malfcence
[1480] 1:16:30	distinguishable.
[1481] 1:16:34	>> Well, it's that that's that uh comment,
[1482] 1:16:36	you know, malfcence and incompetence is
[1483] 1:16:39	is is barely distinguishable.
[1484] 1:16:41	>> Yeah.
[1485] 1:16:44	>> Ryan Copen, how did you die? Baptismal
[1486] 1:16:47	flood. [laughter]
[1487] 1:16:52	>> Yeah, pretty much.
[1488] 1:16:55	Mama says it was a bird skull with some
[1489] 1:16:57	other object inside a small protective
[1490] 1:16:59	birdhouse was facing the back of the
[1491] 1:17:01	church. I informed the church and they
[1492] 1:17:02	removed it. Yeah. And they either would
[1493] 1:17:04	have buried it or burned it. So
[1494] 1:17:09	>> programmers do not [laughter]
[1495] 1:17:14	the ones that work for Microsoft.
[1496] 1:17:18	>> Well, okay. This is this is something
[1497] 1:17:20	where uh you know my com says
[1498] 1:17:22	programmers do not count as evil
[1499] 1:17:24	spirits.
[1500] 1:17:26	Now Mrs. Mrs. producer says no they
[1501] 1:17:29	don't. I think they're part of the
[1502] 1:17:31	undead.
[1503] 1:17:33	[laughter]
[1504] 1:17:33	I think if you had if you worked for
[1505] 1:17:35	Microsoft you are part of the living
[1506] 1:17:37	dead. [laughter]
[1507] 1:17:40	You have lost your soul to Bill Gates.
[1508] 1:17:45	>> I do think they do.
[1509] 1:17:59	Uh, Timara asks, "You encountered a new
[1510] 1:18:02	tomb that has an ancient curse written
[1511] 1:18:04	on the opening against any trespassor.
[1512] 1:18:06	Do you open the tomb?" Yes.
[1513] 1:18:10	That's where the Absolutely. That's
[1514] 1:18:12	where the good stuff is.
[1515] 1:18:13	>> That means a treasure.
[1516] 1:18:16	You put face mask against the mole
[1517] 1:18:18	that's usually in [laughter]
[1518] 1:18:22	the mummy's curse. Can't get it.
[1519] 1:18:24	>> Well, the mommy's curse was fake anyway.
[1520] 1:18:28	Do you know how how that happened? The
[1521] 1:18:30	curse of the mummy was
[1522] 1:18:34	>> record.
[1523] 1:18:36	It's not okay. Here's here's what here's
[1524] 1:18:39	the curse of the mummy from King Tut's
[1525] 1:18:40	tomb. Um, back in when Howard Carter was
[1526] 1:18:45	excavating the Tuma King Tut,
[1527] 1:18:48	uh, he had an exclusive contract to give
[1528] 1:18:51	photos, Burton's photos to the Times,
[1529] 1:18:53	the UK Times,
[1530] 1:18:56	but one of the competing newspapers
[1531] 1:18:58	wanted access to those photos,
[1532] 1:19:01	but wouldn't pay Carter to get them.
[1533] 1:19:05	So the competing
[1534] 1:19:07	So the competing newspaper made up this
[1535] 1:19:09	story of people dying from the curse of
[1536] 1:19:14	the fair of of the mummy.
[1537] 1:19:18	It was all professional jealousy.
[1538] 1:19:25	Yeah. They they made up the whole thing
[1539] 1:19:27	such as as the mold killing people um
[1540] 1:19:30	people dying from mosquito bites that
[1541] 1:19:33	got infected. Well, how Carter um Lord
[1542] 1:19:37	Canarvin did die from that. Howard
[1543] 1:19:40	Carter didn't though. I mean, he went on
[1544] 1:19:42	and lived another 20, 30 years.
[1545] 1:19:46	>> Yeah. Well,
[1546] 1:19:48	>> nasty.
[1547] 1:19:48	>> Yeah. CPM versus DOS. What? No way.
[1548] 1:19:52	Journalists would make things
[1549] 1:19:54	journalists would make things up.
[1550] 1:19:55	[laughter]
[1551] 1:19:58	Uh, Big Destiny. Did Egyptian tomb
[1552] 1:20:01	raiders not believe in the curses or
[1553] 1:20:03	could not read them? Um, okay. Let's
[1554] 1:20:06	let's talk about curses on Egyptian
[1555] 1:20:08	tombs. They aren't what you think they
[1556] 1:20:11	are.
[1557] 1:20:12	We only have a couple of examples of
[1558] 1:20:15	curses from Egyptian tombs.
[1559] 1:20:19	And it's not against entry.
[1560] 1:20:22	Most of those curses are
[1561] 1:20:25	if you come into this tomb without being
[1562] 1:20:28	richly pure, you'll be cursed. It didn't
[1563] 1:20:31	prevent entry.
[1564] 1:20:33	In fact, most of the tombs in Egypt had
[1565] 1:20:38	a public place where people could come
[1566] 1:20:40	in, leave offerings,
[1567] 1:20:42	uh, libation and food offerings for the
[1568] 1:20:44	dead, say prayers for the dead, etc.
[1569] 1:20:48	So most of the people who entered the
[1570] 1:20:49	tombs
[1571] 1:20:51	were allowed to do so as long as they
[1572] 1:20:53	were ritually pure and they did so with
[1573] 1:20:55	no evil intent.
[1574] 1:20:58	But it was it was the ones who sort of
[1575] 1:21:01	came in to wreck the place, defile the
[1576] 1:21:04	tomb. Those were the ones that they did
[1577] 1:21:06	curses against. So
[1578] 1:21:09	uh Louis Sandival. So it was a
[1579] 1:21:12	conditional thing. Yeah, it's a
[1580] 1:21:13	conditional thing.
[1581] 1:21:15	So,
[1582] 1:21:22	okay. So, there we have it. Uh, I don't
[1583] 1:21:25	think there's cursed objects, at least
[1584] 1:21:27	not as per se, but there there can be
[1585] 1:21:30	objects that have the taint of evil
[1586] 1:21:32	attached to them.
[1587] 1:21:34	>> What?
[1588] 1:21:36	>> Please no stealing management.
[1589] 1:21:39	>> CPM versus dust. Please no stealing
[1590] 1:21:42	management.
[1591] 1:21:45	All right, next super chat here from
[1592] 1:21:46	Louis Sandaval for 100 Dominican pesos.
[1593] 1:21:51	How is possession different from mental
[1594] 1:21:54	illness? Okay, as far as its symptoms,
[1595] 1:21:57	there's sometimes very little
[1596] 1:21:59	difference, which is why when one is
[1597] 1:22:02	faced with a case of say demonic
[1598] 1:22:07	possession, you have to be very very
[1599] 1:22:08	careful about this. It's always best to
[1600] 1:22:12	have the patient be assessed for mental
[1601] 1:22:15	illness first. Okay. Now
[1602] 1:22:21	there is a um
[1603] 1:22:30	um
[1604] 1:22:32	the best difference that we can sort of
[1605] 1:22:36	when when assessing say a case of
[1606] 1:22:39	demonic possession. What sort of
[1607] 1:22:41	separates those who are possessed from
[1608] 1:22:43	those who just have a mental illness
[1609] 1:22:45	seems to be the manifestation of
[1610] 1:22:48	predator naturatural abilities. Okay.
[1611] 1:22:52	Now what are predator naturatural
[1612] 1:22:54	abilities? These are abilities that are
[1613] 1:22:57	sort of beyond the normal abilities that
[1614] 1:23:00	most people have. So it's things like
[1615] 1:23:03	knowing ancient ancient languages that
[1616] 1:23:06	you've never had instruction in. uh
[1617] 1:23:08	Romani E dolman. Uh [laughter]
[1618] 1:23:15	it so you know people speaking uh
[1619] 1:23:18	Assyrian that they've never been taught
[1620] 1:23:19	Assyrian or or you know uh super
[1621] 1:23:24	strength is another example of a
[1622] 1:23:25	prednatural ability or levitation.
[1623] 1:23:29	Okay. Uh I know of no mental illness
[1624] 1:23:32	that has as one of its symptoms
[1625] 1:23:33	levitation. Okay. So, if somebody is
[1626] 1:23:37	levitating over the room, you probably
[1627] 1:23:40	have a case of of demon possession, not
[1628] 1:23:43	mental illness. Just saying.
[1629] 1:23:48	So,
[1630] 1:23:51	your cat says hi, huh? [laughter]
[1631] 1:23:57	>> Uh, big destiny.
[1632] 1:24:00	Uh
[1633] 1:24:03	say that
[1634] 1:24:08	9:23
[1635] 1:24:18	>> uh big destiny. Yeah. Possession is
[1636] 1:24:20	really a diagnosis of exclusion. Yes. As
[1637] 1:24:22	I says, until the predator natural stuff
[1638] 1:24:25	starts showing up. Once the predator
[1639] 1:24:27	natural ability starts showing up, uh it
[1640] 1:24:30	becomes less about exclusion at that
[1641] 1:24:31	point.
[1642] 1:24:39	Yeah, super strength is one of those
[1643] 1:24:41	things that's kind of uh iffy. Um uh
[1644] 1:24:45	CPM, yeah, none of the crackheads can do
[1645] 1:24:47	that around me. Now, crackhead strength
[1646] 1:24:49	does exist. Yeah, that does. But again,
[1647] 1:24:52	if if if they're levitating, as I say, I
[1648] 1:24:55	don't know any drug or any mental
[1649] 1:24:57	illness that can give you the ability to
[1650] 1:24:59	levitate. Just saying.
[1651] 1:25:04	Um I don't know any drug that will or
[1652] 1:25:08	or mental illness that will give you the
[1653] 1:25:11	ability to speak ancient Hittite. Just
[1654] 1:25:14	saying. Okay.
[1655] 1:25:17	So,
[1656] 1:25:20	So
[1657] 1:25:22	ask
[1658] 1:25:29	>> well uh
[1659] 1:25:30	>> manifestation
[1660] 1:25:32	ability.
[1661] 1:25:33	>> Yeah. Uh Lewis says, "What criteria do
[1662] 1:25:35	scholars use to differentiate
[1663] 1:25:38	alleged demonic possession from mental
[1664] 1:25:40	or neurological disorder?" Well, it's
[1665] 1:25:42	not a we're not talking here about a
[1666] 1:25:43	scholarly uh um thing here. Uh this is
[1667] 1:25:46	more of a pastoral thing than anything
[1668] 1:25:48	else.
[1669] 1:25:50	Um,
[1670] 1:25:53	you know, there's, as I said, the the
[1671] 1:25:55	manifestation of, uh, prednatural
[1672] 1:25:58	abilities is again probably the the
[1673] 1:26:01	hallmark of demonic possession. So,
[1674] 1:26:05	>> Andrew
[1675] 1:26:07	levitating.
[1676] 1:26:12	>> Andrew Graham levitating. No, we're just
[1677] 1:26:15	practicing for the rapture.
[1678] 1:26:17	Oh boy. Oh boy. [laughter]
[1679] 1:26:28	Yeah.
[1680] 1:26:30	Um,
[1681] 1:26:32	oh, here's the thing. In in ev every
[1682] 1:26:35	other respect, demonic possession looks
[1683] 1:26:38	like mental illness. This is why it's so
[1684] 1:26:41	difficult to sort of differentiate the
[1685] 1:26:43	two. But say once you've um
[1686] 1:26:48	once you've got that sort of um
[1687] 1:26:51	once you've you've observed some
[1688] 1:26:53	prednatural abilities
[1689] 1:26:56	that's when sort of all
[1690] 1:27:00	the diagnosis has to take that next
[1691] 1:27:02	step.
[1692] 1:27:04	Now you have to then
[1693] 1:27:07	with the ma pternatural abilities ask is
[1694] 1:27:10	there anything else that could cause
[1695] 1:27:11	these
[1696] 1:27:13	uh as I said like for example uh like
[1697] 1:27:16	the super strength are they on some sort
[1698] 1:27:19	of um medication that could cause that?
[1699] 1:27:24	Um is their language acquisition skills
[1700] 1:27:30	is there something in their history
[1701] 1:27:31	where they had access to some of this?
[1702] 1:27:33	Is it just gibberish, you know? Um, so
[1703] 1:27:37	at that point, you'd have to look at
[1704] 1:27:38	that. The levitation, that's really hard
[1705] 1:27:40	to
[1706] 1:27:43	that's that's real hard to um to uh
[1707] 1:27:47	discount.
[1708] 1:27:48	Uh some of that
[1709] 1:27:50	>> the telekinesis
[1710] 1:27:54	ancient
[1711] 1:27:57	you know
[1712] 1:28:00	[laughter]
[1713] 1:28:02	>> uh telekinesis. That's another one that
[1714] 1:28:04	could manifest. Yeah. Have you gotten
[1715] 1:28:06	objects flying all over the room that
[1716] 1:28:09	shouldn't be flying and you don't have
[1717] 1:28:11	mice or rats on in in the house? But
[1718] 1:28:14	okay. Um yeah,
[1719] 1:28:18	just some space crack. Yeah,
[1720] 1:28:21	[laughter] that that would take quite
[1721] 1:28:23	some space crack. Okay, so um so that's
[1722] 1:28:26	that's really how you would sort of
[1723] 1:28:28	differentiate is is the manifestation of
[1724] 1:28:31	prednatural abilities. So um until you
[1725] 1:28:35	you see that there's something there
[1726] 1:28:37	that's beyond
[1727] 1:28:39	just say normal things that would maybe
[1728] 1:28:42	be happening uh [laughter]
[1729] 1:28:46	u then you would then look at at say
[1730] 1:28:50	less likely alternatives here
[1731] 1:28:54	uh Louis sandville are there modern
[1732] 1:28:56	cases of levitation telekinesis yes
[1733] 1:28:58	there are uh there have been several
[1734] 1:29:01	cases of
